"Tick","New Column","NetDemand","CurrentPriceSignal","AgentID"
1.0,0.0,0.0,25989.0,Aggregator 1
2.0,112.15975952148438,112.15976,25462.0,Prosumer 596
3.0,128.79129028320312,128.79129,24998.0,Prosumer 596
4.0,122.16136932373047,122.16137,24422.0,Prosumer 596
5.0,140.16029357910156,140.1603,24066.0,Prosumer 596
6.0,137.2989501953125,137.29895,23948.0,Prosumer 596
7.0,137.90040588378906,137.9004,23839.0,Prosumer 596
8.0,132.2788848876953,132.27888,23736.0,Prosumer 596
9.0,134.64175415039062,134.64175,23061.0,Prosumer 596
10.0,164.65878295898438,164.65878,23297.0,Prosumer 596
11.0,79.8193359375,79.819336,23992.0,Prosumer 596
12.0,107.16065979003906,107.16066,26418.0,Prosumer 596
13.0,86.34114837646484,86.34115,29288.0,Prosumer 596
14.0,70.39659118652344,70.39659,32837.0,Prosumer 596
15.0,102.36121368408203,102.36121,35193.0,Prosumer 596
16.0,140.48802185058594,140.48802,36874.0,Prosumer 596
17.0,967.6607055664062,967.6607,37692.0,Prosumer 596
18.0,518.6211547851562,518.62115,38683.0,Prosumer 596
19.0,103.86090087890625,103.8609,39062.0,Prosumer 596
20.0,91.35169982910156,91.3517,39275.0,Prosumer 596
21.0,78.22755432128906,78.227554,39737.0,Prosumer 596
22.0,237.8714599609375,237.87146,39991.0,Prosumer 596
23.0,222.349853515625,222.34985,40060.0,Prosumer 596
24.0,193.66502380371094,193.66502,40166.0,Prosumer 596
25.0,171.60922241210938,171.60922,39966.0,Prosumer 596
26.0,220.0258026123047,220.0258,39979.0,Prosumer 596
27.0,242.13677978515625,242.13678,39805.0,Prosumer 596
28.0,278.2760009765625,278.276,39490.0,Prosumer 596
29.0,125.1967544555664,125.196754,39344.0,Prosumer 596
30.0,167.0782928466797,167.0783,39311.0,Prosumer 596
31.0,192.0990447998047,192.09904,39648.0,Prosumer 596
32.0,801.5556030273438,801.5556,39889.0,Prosumer 596
33.0,716.5387573242188,716.53876,40208.0,Prosumer 596
34.0,571.83349609375,571.8335,40166.0,Prosumer 596
35.0,286.82330322265625,286.8233,39495.0,Prosumer 596
36.0,208.35301208496094,208.35301,38620.0,Prosumer 596
37.0,226.89222717285156,226.89223,37976.0,Prosumer 596
38.0,310.6361999511719,310.6362,37126.0,Prosumer 596
39.0,229.26596069335938,229.26596,36490.0,Prosumer 596
40.0,174.33924865722656,174.33925,35853.0,Prosumer 596
41.0,166.88185119628906,166.88185,35266.0,Prosumer 596
42.0,135.0121612548828,135.01216,35304.0,Prosumer 596
43.0,225.68507385253906,225.68507,35241.0,Prosumer 596
44.0,341.51849365234375,341.5185,34610.0,Prosumer 596
45.0,334.59710693359375,334.5971,32588.0,Prosumer 596
46.0,257.87713623046875,257.87714,30292.0,Prosumer 596
47.0,150.819091796875,150.81909,28241.0,Prosumer 596
48.0,162.65899658203125,162.659,26759.0,Prosumer 596
49.0,114.41321563720703,114.413216,32115.0,Prosumer 596
50.0,116.48371124267578,116.48371,31447.5,Prosumer 596
51.0,135.3074951171875,135.3075,31126.25,Prosumer 596
52.0,119.14708709716797,119.14709,30457.5,Prosumer 596
53.0,108.7169189453125,108.71692,29928.75,Prosumer 596
54.0,123.07205963134766,123.07206,29691.25,Prosumer 596
55.0,155.76637268066406,155.76637,29743.75,Prosumer 596
56.0,122.93550872802734,122.93551,29530.0,Prosumer 596
57.0,87.40978240966797,87.40978,28841.25,Prosumer 596
58.0,125.9999771118164,125.99998,29231.25,Prosumer 596
59.0,127.27996063232422,127.27996,30335.0,Prosumer 596
60.0,120.42484283447266,120.42484,33421.25,Prosumer 596
61.0,118.12501525878906,118.125015,37013.75,Prosumer 596
62.0,115.45140075683594,115.4514,41490.0,Prosumer 596
63.0,120.12709045410156,120.12709,44570.0,Prosumer 596
64.0,148.41641235351562,148.41641,47038.75,Prosumer 596
65.0,125.0951919555664,125.09519,47862.5,Prosumer 596
66.0,108.46468353271484,108.46468,49101.25,Prosumer 596
67.0,131.85482788085938,131.85483,49742.5,Prosumer 596
68.0,93.391845703125,93.391846,50006.25,Prosumer 596
69.0,147.30079650878906,147.3008,50317.5,Prosumer 596
70.0,174.6763916015625,174.67639,50483.75,Prosumer 596
71.0,771.8764038085938,771.8764,50568.75,Prosumer 596
72.0,250.63076782226562,250.63077,50593.75,Prosumer 596
73.0,45.45853805541992,45.458538,50098.75,Prosumer 596
74.0,48.185935974121094,48.185936,49758.75,Prosumer 596
75.0,294.6766662597656,294.67667,49261.25,Prosumer 596
76.0,148.10816955566406,148.10817,49071.25,Prosumer 596
77.0,313.108642578125,313.10864,48516.25,Prosumer 596
78.0,148.07815551757812,148.07816,48027.5,Prosumer 596
79.0,279.5075378417969,279.50754,48040.0,Prosumer 596
80.0,63.136661529541016,63.13666,48292.5,Prosumer 596
81.0,34.567195892333984,34.567196,48456.25,Prosumer 596
82.0,111.68101501464844,111.681015,48177.5,Prosumer 596
83.0,861.1024780273438,861.1025,47131.25,Prosumer 596
84.0,580.35205078125,580.35205,45957.5,Prosumer 596
85.0,289.95587158203125,289.95587,45172.5,Prosumer 596
86.0,234.86676025390625,234.86676,43913.75,Prosumer 596
87.0,820.977783203125,820.9778,42833.75,Prosumer 596
88.0,440.47894287109375,440.47894,41873.75,Prosumer 596
89.0,330.98699951171875,330.987,40996.25,Prosumer 596
90.0,263.9061279296875,263.90613,40575.0,Prosumer 596
91.0,295.159423828125,295.15942,40875.0,Prosumer 596
92.0,275.87420654296875,275.8742,40808.75,Prosumer 596
93.0,173.1840362548828,173.18404,39553.75,Prosumer 596
94.0,109.6962661743164,109.696266,37260.0,Prosumer 596
95.0,148.45738220214844,148.45738,34961.25,Prosumer 596
96.0,227.08108520507812,227.08109,33015.0,Prosumer 596
97.0,175.00173950195312,175.00174,31655.0,Prosumer 596
98.0,216.81253051757812,216.81253,30651.25,Prosumer 596
99.0,147.05177307128906,147.05177,29927.5,Prosumer 596
100.0,44.87530517578125,44.875305,29203.75,Prosumer 596
101.0,87.77543640136719,87.77544,28847.5,Prosumer 596
102.0,98.90241241455078,98.90241,28486.25,Prosumer 596
103.0,118.29179382324219,118.291794,28261.25,Prosumer 596
104.0,100.81800842285156,100.81801,27758.75,Prosumer 596
105.0,50.6346321105957,50.634632,26831.25,Prosumer 596
106.0,75.96109771728516,75.9611,26736.25,Prosumer 596
107.0,111.76688385009766,111.766884,27066.25,Prosumer 596
108.0,37.39763641357422,37.397636,28638.75,Prosumer 596
109.0,95.86854553222656,95.868546,30196.25,Prosumer 596
110.0,25.528779983520508,25.52878,32650.0,Prosumer 596
111.0,-20.8723087310791,-20.872309,34890.0,Prosumer 596
112.0,23.738868713378906,23.738869,37737.5,Prosumer 596
113.0,-42.06879425048828,-42.068794,39713.75,Prosumer 596
114.0,-52.267791748046875,-52.26779,41425.0,Prosumer 596
115.0,-60.227394104003906,-60.227394,42168.75,Prosumer 596
116.0,403.27911376953125,403.2791,42531.25,Prosumer 596
117.0,342.093994140625,342.094,42658.75,Prosumer 596
118.0,276.98516845703125,276.98517,42696.25,Prosumer 596
119.0,-32.94083023071289,-32.94083,42583.75,Prosumer 596
120.0,-6.023142337799072,-6.0231423,42326.25,Prosumer 596
121.0,92.96424102783203,92.96424,41741.25,Prosumer 596
122.0,-43.72768783569336,-43.727688,41098.75,Prosumer 596
123.0,-7.13668966293335,-7.1366897,40546.25,Prosumer 596
124.0,-2.413529872894287,-2.4135299,40105.0,Prosumer 596
125.0,40.94265365600586,40.942654,39583.75,Prosumer 596
126.0,239.72506713867188,239.72507,39403.75,Prosumer 596
127.0,128.71913146972656,128.71913,39392.5,Prosumer 596
128.0,116.6464614868164,116.64646,39683.75,Prosumer 596
129.0,103.44879913330078,103.4488,39953.75,Prosumer 596
130.0,223.22010803222656,223.22011,40702.5,Prosumer 596
131.0,309.937255859375,309.93726,40661.25,Prosumer 596
132.0,377.4783630371094,377.47836,40072.5,Prosumer 596
133.0,340.6460266113281,340.64603,39505.0,Prosumer 596
134.0,208.52560424804688,208.5256,39011.25,Prosumer 596
135.0,278.0975036621094,278.0975,38215.0,Prosumer 596
136.0,537.81396484375,537.81396,37657.5,Prosumer 596
137.0,216.02996826171875,216.02997,36931.25,Prosumer 596
138.0,191.86239624023438,191.8624,36667.5,Prosumer 596
139.0,170.4584197998047,170.45842,37476.25,Prosumer 596
140.0,243.62295532226562,243.62296,38022.5,Prosumer 596
141.0,158.725341796875,158.72534,36803.75,Prosumer 596
142.0,180.10580444335938,180.1058,34947.5,Prosumer 596
143.0,141.1589813232422,141.15898,33155.0,Prosumer 596
144.0,131.75155639648438,131.75156,31503.75,Prosumer 596
145.0,126.83194732666016,126.83195,30262.5,Prosumer 596
146.0,161.22645568847656,161.22646,29258.75,Prosumer 596
147.0,108.68846130371094,108.68846,28407.5,Prosumer 596
148.0,168.5066375732422,168.50664,27712.5,Prosumer 596
