DEM_LARGE,DEM_SMALL,GEN_COAL,GEN_CCGT,GEN_WIND
-468.4262561,-200.7541098,299.4839865,337.1105444,32.58583499
-468.9726055,-200.9882595,286.2155028,351.6798599,32.0655023
-462.8261755,-198.3540752,273.6299557,353.9888362,33.56145879
-452.2861864,-193.836937,264.9794247,347.4521567,33.69154197
-443.1575997,-189.9246856,260.524076,337.3707108,35.18749847
-439.606329,-188.4027124,258.0524957,332.3950294,37.56151638
-429.7492765,-184.1782614,251.4507746,324.0046647,38.4720986
-423.2386137,-181.3879773,245.0116575,318.606213,41.00872048
-414.8157282,-177.7781692,239.905893,312.1020543,40.58595017
-417.6840622,-179.0074552,242.7026812,316.4923614,37.4964748
-447.4828652,-191.7783708,270.7681259,332.0047799,36.4883302
-472.9336381,-202.6858449,299.6791112,338.5089386,37.43143321
-508.4008154,-217.8860637,341.8911011,347.0619072,37.33387083
-581.4295091,-249.1840753,394.0219329,399.7130717,36.87857972
-648.0613627,-277.740584,453.665068,434.5428415,37.59403718
-682.6862514,-292.579822,494.3485806,444.2990795,36.61841337
-703.083293,-301.3214113,519.5196747,448.2340955,36.65093417
-705.7012169,-302.4433787,531.9751385,441.0470002,35.12245688
-715.2168011,-306.5214862,538.3817348,448.4617411,34.89481132
-719.6786539,-308.4337088,537.3085486,455.876482,34.92733212
-722.5014588,-309.6434823,530.5767444,467.1937181,34.37447863
-729.6950583,-312.7264535,528.9832255,477.6979343,35.74035195
-728.6706533,-312.2874228,528.3002889,477.8930591,34.76472815
-729.0804153,-312.4630351,526.2189581,478.5759958,36.74849655
-731.5389873,-313.5167088,525.3408967,482.5110118,37.20378766
-727.3275445,-311.7118048,526.3815621,477.7304551,34.92733212
-727.0543699,-311.5947299,532.0076593,471.5840252,35.05741529
-722.0234031,-309.4386013,533.9263861,463.421306,34.11431228
-720.9762336,-308.9898144,533.6987406,465.6977616,30.5695458
-716.9696718,-307.2727165,530.0564117,466.2831359,27.90284074
-721.5453475,-309.2337203,528.7230592,476.5271858,25.52882282
-739.0968197,-316.7557799,541.3736478,489.6005447,24.87840696
-764.2971825,-327.5559353,549.4388046,518.8042172,23.61009601
-835.2543016,-357.9661293,568.7236351,600.9192206,23.57757522
-868.5816107,-372.2492617,570.2846332,646.80606,23.74017919
-870.357246,-373.0102483,571.3578193,646.7410185,25.26865648
-858.2692671,-367.8296859,570.2195916,627.6187919,28.26056947
-848.3439209,-363.5759661,567.000033,614.1226627,30.79719136
-829.2216944,-355.3807262,557.7316069,593.2768341,33.59397959
-797.7610789,-341.8976052,548.0404105,555.8779217,35.74035195
-771.1265491,-330.4828067,548.9835135,512.8854328,39.74040954
-735.2951389,-315.1264881,537.2435071,470.8360469,42.34207301
-704.2898145,-301.8384919,522.5441084,440.5266675,43.05753047
-656.5070127,-281.3601483,490.4460854,405.2741274,42.14694825
-619.5373748,-265.5160178,463.421306,378.4444729,43.18761364
-570.3431706,-244.4327874,422.8353559,348.3302182,43.61038396
-542.7525295,-232.6082269,393.0463091,338.443897,43.8705503
-515.0025365,-220.7153728,347.5822399,343.0943704,45.04129887
