DEM_LARGE,DEM_SMALL,GEN_COAL,GEN_CCGT,GEN_WIND,,,,
-400,-1,400,400,440,,,299.4839865,337.1105444
-400,-1,400,400,440,,,286.2155028,351.6798599
-400,-1,400,400,440,,,273.6299557,353.9888362
-400,-1,400,400,440,,,264.9794247,347.4521567
-400,-1,400,400,440,,,260.524076,337.3707108
-400,-1,400,400,440,,,258.0524957,332.3950294
-400,-1,400,400,440,,,251.4507746,324.0046647
-400,-1,400,400,440,,,245.0116575,318.606213
-400,-1,400,400,440,,,239.905893,312.1020543
-400,-1,400,400,440,,,242.7026812,316.4923614
-400,-1,400,400,440,,,270.7681259,332.0047799
-400,-1,400,400,440,,,299.6791112,338.5089386
-400,-1,400,400,440,,,341.8911011,347.0619072
-400,-1,400,400,440,,,394.0219329,399.7130717
-400,-1,400,400,440,,,453.665068,434.5428415
-400,-1,400,400,440,,,494.3485806,444.2990795
-400,-1,400,400,440,,,519.5196747,448.2340955
-400,-1,400,400,440,,,531.9751385,441.0470002
-400,-1,400,400,440,,,538.3817348,448.4617411
-400,-1,400,400,440,,,537.3085486,455.876482
-400,-1,400,400,440,,,530.5767444,467.1937181
-400,-1,400,400,440,,,528.9832255,477.6979343
-400,-1,400,400,440,,,528.3002889,477.8930591
-400,-1,400,400,440,,,526.2189581,478.5759958
-400,-1,400,400,440,,,525.3408967,482.5110118
-400,-1,400,400,440,,,526.3815621,477.7304551
-400,-1,400,400,440,,,532.0076593,471.5840252
-400,-1,400,400,440,,,533.9263861,463.421306
-400,-1,400,400,440,,,533.6987406,465.6977616
-400,-1,400,400,440,,,530.0564117,466.2831359
-400,-1,400,400,440,,,528.7230592,476.5271858
-400,-1,400,400,440,,,541.3736478,489.6005447
-400,-1,400,400,440,,,549.4388046,518.8042172
-400,-1,400,400,440,,,568.7236351,600.9192206
-400,-1,400,400,440,,,570.2846332,646.80606
-400,-1,400,400,440,,,571.3578193,646.7410185
-400,-1,400,400,440,,,570.2195916,627.6187919
-400,-1,400,400,440,,,567.000033,614.1226627
-400,-1,400,400,440,,,557.7316069,593.2768341
-400,-1,400,400,440,,,548.0404105,555.8779217
-400,-1,400,400,440,,,548.9835135,512.8854328
-400,-1,400,400,440,,,537.2435071,470.8360469
-400,-1,400,400,440,,,522.5441084,440.5266675
-400,-1,400,400,440,,,490.4460854,405.2741274
-400,-1,400,400,440,,,463.421306,378.4444729
-400,-1,400,400,440,,,422.8353559,348.3302182
-400,-1,400,400,440,,,393.0463091,338.443897
-400,-1,400,400,440,,,347.5822399,343.0943704
