timestamp,DSP
20160401 00:00,-0.251
20160401 00:30,-0.251
20160401 01:00,-0.251
20160401 01:30,-0.251
20160401 02:00,-0.251
20160401 02:30,-0.251
20160401 03:00,-0.275
20160401 03:30,-0.275
20160401 04:00,-0.275
20160401 04:30,-0.275
20160401 05:00,-0.275
20160401 05:30,-0.275
20160401 06:00,-0.137
20160401 06:30,-0.137
20160401 07:00,-0.137
20160401 07:30,-0.137
20160401 08:00,-0.137
20160401 08:30,-0.137
20160401 09:00,-0.137
20160401 09:30,-0.137
20160401 10:00,-0.157
20160401 10:30,-0.157
20160401 11:00,-0.157
20160401 11:30,-0.167
20160401 12:00,-0.167
20160401 12:30,-0.167
20160401 13:00,-0.167
20160401 13:30,-0.157
20160401 14:00,-0.157
20160401 14:30,-0.157
20160401 15:00,-0.157
20160401 15:30,-0.157
20160401 16:00,-0.157
20160401 16:30,-0.157
20160401 17:00,1
20160401 17:30,1
20160401 18:00,1
20160401 18:30,1
20160401 19:00,1
20160401 19:30,1
20160401 20:00,1
20160401 20:30,1
20160401 21:00,-0.24
20160401 21:30,-0.24
20160401 22:00,-0.24
20160401 22:30,-0.24
20160401 23:00,-0.275
20160401 23:30,-0.275
20160402 00:00,-0.251
20160402 00:30,-0.251
20160402 01:00,-0.251
20160402 01:30,-0.251
20160402 02:00,-0.251
20160402 02:30,-0.251
20160402 03:00,-0.275
20160402 03:30,-0.275
20160402 04:00,-0.275
20160402 04:30,-0.275
20160402 05:00,-0.275
20160402 05:30,-0.275
20160402 06:00,-0.137
20160402 06:30,-0.137
20160402 07:00,-0.137
20160402 07:30,-0.137
20160402 08:00,-0.137
20160402 08:30,-0.137
20160402 09:00,-0.137
20160402 09:30,-0.137
20160402 10:00,-0.157
20160402 10:30,-0.157
20160402 11:00,-0.157
20160402 11:30,-0.167
20160402 12:00,-0.167
20160402 12:30,-0.167
20160402 13:00,-0.167
20160402 13:30,-0.157
20160402 14:00,-0.157
20160402 14:30,-0.157
20160402 15:00,-0.157
20160402 15:30,-0.157
20160402 16:00,-0.157
20160402 16:30,-0.157
20160402 17:00,1
20160402 17:30,1
20160402 18:00,1
20160402 18:30,1
20160402 19:00,1
20160402 19:30,1
20160402 20:00,1
20160402 20:30,1
20160402 21:00,-0.24
20160402 21:30,-0.24
20160402 22:00,-0.24
20160402 22:30,-0.24
20160402 23:00,-0.275
20160402 23:30,-0.275
20160403 00:00,-0.251
20160403 00:30,-0.251
20160403 01:00,-0.251
20160403 01:30,-0.251
20160403 02:00,-0.251
20160403 02:30,-0.251
20160403 03:00,-0.275
20160403 03:30,-0.275
20160403 04:00,-0.275
20160403 04:30,-0.275
20160403 05:00,-0.275
20160403 05:30,-0.275
20160403 06:00,-0.137
20160403 06:30,-0.137
20160403 07:00,-0.137
20160403 07:30,-0.137
20160403 08:00,-0.137
20160403 08:30,-0.137
20160403 09:00,-0.137
20160403 09:30,-0.137
20160403 10:00,-0.157
20160403 10:30,-0.157
20160403 11:00,-0.157
20160403 11:30,-0.167
20160403 12:00,-0.167
20160403 12:30,-0.167
20160403 13:00,-0.167
20160403 13:30,-0.157
20160403 14:00,-0.157
20160403 14:30,-0.157
20160403 15:00,-0.157
20160403 15:30,-0.157
20160403 16:00,-0.157
20160403 16:30,-0.157
20160403 17:00,1
20160403 17:30,1
20160403 18:00,1
20160403 18:30,1
20160403 19:00,1
20160403 19:30,1
20160403 20:00,1
20160403 20:30,1
20160403 21:00,-0.24
20160403 21:30,-0.24
20160403 22:00,-0.24
20160403 22:30,-0.24
20160403 23:00,-0.275
20160403 23:30,-0.275
20160404 00:00,-0.251
20160404 00:30,-0.251
20160404 01:00,-0.251
20160404 01:30,-0.251
20160404 02:00,-0.251
20160404 02:30,-0.251
20160404 03:00,-0.275
20160404 03:30,-0.275
20160404 04:00,-0.275
20160404 04:30,-0.275
20160404 05:00,-0.275
20160404 05:30,-0.275
20160404 06:00,-0.137
20160404 06:30,-0.137
20160404 07:00,-0.137
20160404 07:30,-0.137
20160404 08:00,-0.137
20160404 08:30,-0.137
20160404 09:00,-0.137
20160404 09:30,-0.137
20160404 10:00,-0.157
20160404 10:30,-0.157
20160404 11:00,-0.157
20160404 11:30,-0.167
20160404 12:00,-0.167
20160404 12:30,-0.167
20160404 13:00,-0.167
20160404 13:30,-0.157
20160404 14:00,-0.157
20160404 14:30,-0.157
20160404 15:00,-0.157
20160404 15:30,-0.157
20160404 16:00,-0.157
20160404 16:30,-0.157
20160404 17:00,1
20160404 17:30,1
20160404 18:00,1
20160404 18:30,1
20160404 19:00,1
20160404 19:30,1
20160404 20:00,1
20160404 20:30,1
20160404 21:00,-0.24
20160404 21:30,-0.24
20160404 22:00,-0.24
20160404 22:30,-0.24
20160404 23:00,-0.275
20160404 23:30,-0.275
20160405 00:00,-0.251
20160405 00:30,-0.251
20160405 01:00,-0.251
20160405 01:30,-0.251
20160405 02:00,-0.251
20160405 02:30,-0.251
20160405 03:00,-0.275
20160405 03:30,-0.275
20160405 04:00,-0.275
20160405 04:30,-0.275
20160405 05:00,-0.275
20160405 05:30,-0.275
20160405 06:00,-0.137
20160405 06:30,-0.137
20160405 07:00,-0.137
20160405 07:30,-0.137
20160405 08:00,-0.137
20160405 08:30,-0.137
20160405 09:00,-0.137
20160405 09:30,-0.137
20160405 10:00,-0.157
20160405 10:30,-0.157
20160405 11:00,-0.157
20160405 11:30,-0.167
20160405 12:00,-0.167
20160405 12:30,-0.167
20160405 13:00,-0.167
20160405 13:30,-0.157
20160405 14:00,-0.157
20160405 14:30,-0.157
20160405 15:00,-0.157
20160405 15:30,-0.157
20160405 16:00,-0.157
20160405 16:30,-0.157
20160405 17:00,1
20160405 17:30,1
20160405 18:00,1
20160405 18:30,1
20160405 19:00,1
20160405 19:30,1
20160405 20:00,1
20160405 20:30,1
20160405 21:00,-0.24
20160405 21:30,-0.24
20160405 22:00,-0.24
20160405 22:30,-0.24
20160405 23:00,-0.275
20160405 23:30,-0.275
20160406 00:00,-0.251
20160406 00:30,-0.251
20160406 01:00,-0.251
20160406 01:30,-0.251
20160406 02:00,-0.251
20160406 02:30,-0.251
20160406 03:00,-0.275
20160406 03:30,-0.275
20160406 04:00,-0.275
20160406 04:30,-0.275
20160406 05:00,-0.275
20160406 05:30,-0.275
20160406 06:00,-0.137
20160406 06:30,-0.137
20160406 07:00,-0.137
20160406 07:30,-0.137
20160406 08:00,-0.137
20160406 08:30,-0.137
20160406 09:00,-0.137
20160406 09:30,-0.137
20160406 10:00,-0.157
20160406 10:30,-0.157
20160406 11:00,-0.157
20160406 11:30,-0.167
20160406 12:00,-0.167
20160406 12:30,-0.167
20160406 13:00,-0.167
20160406 13:30,-0.157
20160406 14:00,-0.157
20160406 14:30,-0.157
20160406 15:00,-0.157
20160406 15:30,-0.157
20160406 16:00,-0.157
20160406 16:30,-0.157
20160406 17:00,1
20160406 17:30,1
20160406 18:00,1
20160406 18:30,1
20160406 19:00,1
20160406 19:30,1
20160406 20:00,1
20160406 20:30,1
20160406 21:00,-0.24
20160406 21:30,-0.24
20160406 22:00,-0.24
20160406 22:30,-0.24
20160406 23:00,-0.275
20160406 23:30,-0.275
20160407 00:00,-0.251
20160407 00:30,-0.251
20160407 01:00,-0.251
20160407 01:30,-0.251
20160407 02:00,-0.251
20160407 02:30,-0.251
20160407 03:00,-0.275
20160407 03:30,-0.275
20160407 04:00,-0.275
20160407 04:30,-0.275
20160407 05:00,-0.275
20160407 05:30,-0.275
20160407 06:00,-0.137
20160407 06:30,-0.137
20160407 07:00,-0.137
20160407 07:30,-0.137
20160407 08:00,-0.137
20160407 08:30,-0.137
20160407 09:00,-0.137
20160407 09:30,-0.137
20160407 10:00,-0.157
20160407 10:30,-0.157
20160407 11:00,-0.157
20160407 11:30,-0.167
20160407 12:00,-0.167
20160407 12:30,-0.167
20160407 13:00,-0.167
20160407 13:30,-0.157
20160407 14:00,-0.157
20160407 14:30,-0.157
20160407 15:00,-0.157
20160407 15:30,-0.157
20160407 16:00,-0.157
20160407 16:30,-0.157
20160407 17:00,1
20160407 17:30,1
20160407 18:00,1
20160407 18:30,1
20160407 19:00,1
20160407 19:30,1
20160407 20:00,1
20160407 20:30,1
20160407 21:00,-0.24
20160407 21:30,-0.24
20160407 22:00,-0.24
20160407 22:30,-0.24
20160407 23:00,-0.275
20160407 23:30,-0.275
20160408 00:00,-0.251
20160408 00:30,-0.251
20160408 01:00,-0.251
20160408 01:30,-0.251
20160408 02:00,-0.251
20160408 02:30,-0.251
20160408 03:00,-0.275
20160408 03:30,-0.275
20160408 04:00,-0.275
20160408 04:30,-0.275
20160408 05:00,-0.275
20160408 05:30,-0.275
20160408 06:00,-0.137
20160408 06:30,-0.137
20160408 07:00,-0.137
20160408 07:30,-0.137
20160408 08:00,-0.137
20160408 08:30,-0.137
20160408 09:00,-0.137
20160408 09:30,-0.137
20160408 10:00,-0.157
20160408 10:30,-0.157
20160408 11:00,-0.157
20160408 11:30,-0.167
20160408 12:00,-0.167
20160408 12:30,-0.167
20160408 13:00,-0.167
20160408 13:30,-0.157
20160408 14:00,-0.157
20160408 14:30,-0.157
20160408 15:00,-0.157
20160408 15:30,-0.157
20160408 16:00,-0.157
20160408 16:30,-0.157
20160408 17:00,1
20160408 17:30,1
20160408 18:00,1
20160408 18:30,1
20160408 19:00,1
20160408 19:30,1
20160408 20:00,1
20160408 20:30,1
20160408 21:00,-0.24
20160408 21:30,-0.24
20160408 22:00,-0.24
20160408 22:30,-0.24
20160408 23:00,-0.275
20160408 23:30,-0.275
20160409 00:00,-0.251
20160409 00:30,-0.251
20160409 01:00,-0.251
20160409 01:30,-0.251
20160409 02:00,-0.251
20160409 02:30,-0.251
20160409 03:00,-0.275
20160409 03:30,-0.275
20160409 04:00,-0.275
20160409 04:30,-0.275
20160409 05:00,-0.275
20160409 05:30,-0.275
20160409 06:00,-0.137
20160409 06:30,-0.137
20160409 07:00,-0.137
20160409 07:30,-0.137
20160409 08:00,-0.137
20160409 08:30,-0.137
20160409 09:00,-0.137
20160409 09:30,-0.137
20160409 10:00,-0.157
20160409 10:30,-0.157
20160409 11:00,-0.157
20160409 11:30,-0.167
20160409 12:00,-0.167
20160409 12:30,-0.167
20160409 13:00,-0.167
20160409 13:30,-0.157
20160409 14:00,-0.157
20160409 14:30,-0.157
20160409 15:00,-0.157
20160409 15:30,-0.157
20160409 16:00,-0.157
20160409 16:30,-0.157
20160409 17:00,1
20160409 17:30,1
20160409 18:00,1
20160409 18:30,1
20160409 19:00,1
20160409 19:30,1
20160409 20:00,1
20160409 20:30,1
20160409 21:00,-0.24
20160409 21:30,-0.24
20160409 22:00,-0.24
20160409 22:30,-0.24
20160409 23:00,-0.275
20160409 23:30,-0.275
20160410 00:00,-0.251
20160410 00:30,-0.251
20160410 01:00,-0.251
20160410 01:30,-0.251
20160410 02:00,-0.251
20160410 02:30,-0.251
20160410 03:00,-0.275
20160410 03:30,-0.275
20160410 04:00,-0.275
20160410 04:30,-0.275
20160410 05:00,-0.275
20160410 05:30,-0.275
20160410 06:00,-0.137
20160410 06:30,-0.137
20160410 07:00,-0.137
20160410 07:30,-0.137
20160410 08:00,-0.137
20160410 08:30,-0.137
20160410 09:00,-0.137
20160410 09:30,-0.137
20160410 10:00,-0.157
20160410 10:30,-0.157
20160410 11:00,-0.157
20160410 11:30,-0.167
20160410 12:00,-0.167
20160410 12:30,-0.167
20160410 13:00,-0.167
20160410 13:30,-0.157
20160410 14:00,-0.157
20160410 14:30,-0.157
20160410 15:00,-0.157
20160410 15:30,-0.157
20160410 16:00,-0.157
20160410 16:30,-0.157
20160410 17:00,1
20160410 17:30,1
20160410 18:00,1
20160410 18:30,1
20160410 19:00,1
