timestamp,UV index,insolation,rainfall,airTemp,airDensity,windSpeed
20160401 00:00,0,0,1,5,1.27,5
20160401 00:30,0,0,1,4.8,1.27,5
20160401 01:00,0,0,1,4.7,1.27,5
20160401 01:30,0,0,1,4.5,1.27,5
20160401 02:00,0,0,1,4.3,1.27,5
20160401 02:30,0,0,1,4.2,1.27,5
20160401 03:00,0,0,1,4,1.27,5
20160401 03:30,0.2,6,0.8,3.7,1.27,5
20160401 04:00,0.3,9,0.7,3.3,1.27,5
20160401 04:30,0.5,15,0.5,3,1.27,5
20160401 05:00,0.7,21,0.3,2.7,1.27,5
20160401 05:30,0.8,24,0.2,2.3,1.27,5
20160401 06:00,1,30,0,2,1.27,5
20160401 06:30,1.2,36,0,2.8,1.27,5
20160401 07:00,1.3,39,0,3.7,1.27,5
20160401 07:30,1.5,45,0,4.5,1.27,5
20160401 08:00,1.7,51,0,5.3,1.27,5
20160401 08:30,1.8,54,0,6.2,1.27,5
20160401 09:00,2,60,0,7,1.27,5
20160401 09:30,2.3,69,0.7,7.3,1.27,5
20160401 10:00,2.7,81,1.3,7.7,1.27,5
20160401 10:30,3,90,2,8,1.27,5
20160401 11:00,3.3,99,2.7,8.3,1.27,5
20160401 11:30,3.7,111,3.3,8.7,1.27,5
20160401 12:00,4,120,4,9,1.27,5
20160401 12:30,3.7,111,3.8,9.2,1.27,5
20160401 13:00,3.3,99,3.7,9.3,1.27,5
20160401 13:30,3,90,3.5,9.5,1.27,5
20160401 14:00,2.7,81,3.3,9.7,1.27,5
20160401 14:30,2.3,69,3.2,9.8,1.27,5
20160401 15:00,2,60,3,10,1.27,5
20160401 15:30,1.8,54,3,9.8,1.27,5
20160401 16:00,1.7,51,3,9.7,1.27,5
20160401 16:30,1.5,45,3,9.5,1.27,5
20160401 17:00,1.3,39,3,9.3,1.27,5
20160401 17:30,1.2,36,3,9.2,1.27,5
20160401 18:00,1,30,3,9,1.27,5
20160401 18:30,0.8,24,2.5,8.3,1.27,5
20160401 19:00,0.7,21,2,7.7,1.27,5
20160401 19:30,0.5,15,1.5,7,1.27,5
