, Job_ID,Count,W,IDF,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,Electricity_GJ,Overheating_hr,CO2_optimised_kg,CO2_reduction_perc,CO2_reduction_kg,CO2_default_kg,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47
0,CO2_1_Fin_01-26_0,0.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,25.0,24.0,24.0,23.0,23.0,24.0,24.0,25.0,24.0,23.0,24.0,1.181037712,0.963683379,127.9229951,-0.19405609100000001,0.248725029,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253328345403308,12.144719553104823,12.144705424136738,12.141318267895018,12.13644945835426,12.135277294261918,12.135918785141818,12.136165262498892,12.136181468635902,12.133492914075584,12.12956242720992,12.126871117436034,12.132409861210597,12.12384601372737,12.123365538922666,12.125164216278069,12.128142750526235,12.131095310919312,12.134007476461337,12.138404954576073,12.143499708447512,12.280069570300908,12.251507188771514,12.145144274979385,12.149437840393889,12.152085851153972,12.153860302468972,0.0,0.0,0.0,0.0,0.0,0.0
1,CO2_1_Fin_01-26_1,1.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,25.0,24.0,23.0,23.0,25.0,25.0,24.0,23.0,25.0,23.0,1.18188386,0.70056595,128.0140052,-0.123049668,0.157714876,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.254007587303295,12.144749067358994,12.144733338917904,12.141342373287486,12.136470135951079,12.135296524614047,12.135936823626396,12.136182020606553,12.136197364914976,12.133507766814605,12.129576171088823,12.12688405450134,12.129739357924084,12.123854695803649,12.123376863464117,12.125175950005373,12.128154312204197,12.131106686288998,12.134018615137467,12.256818765906582,12.228840263104507,12.144226175022498,12.142542071461566,12.309728496903844,12.262394311528414,12.152284271942584,12.15392805028659,0.0,0.0,0.0,0.0,0.0,0.0
2,CO2_1_Fin_01-26_2,2.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,24.0,24.0,23.0,24.0,23.0,24.0,24.0,23.0,23.0,26.0,1.181892432,0.588617892,128.0153445,-0.12200479199999999,0.156375641,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253928853681249,12.144729886749994,12.144716777809247,12.141328562090198,12.136458883647963,12.135286897786582,12.135928361270988,12.136174595312761,12.136190964034741,12.133502441061474,12.129571813349664,12.12688040754799,12.12482390557471,12.16108861515746,12.187650681873722,12.125226596333421,12.128141345837038,12.131089475643526,12.134002701072808,12.255352655865499,12.228033457061926,12.231101870493347,12.241654798768312,12.14515622401685,12.149454085969003,12.152102321199182,12.153876081611822,0.0,0.0,0.0,0.0,0.0,0.0
3,CO2_1_Fin_01-26_3,3.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,24.0,24.0,24.0,23.0,23.0,23.0,25.0,25.0,23.0,24.0,26.0,1.1812584,0.862006756,127.94717720000001,-0.175189101,0.224542884,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253403621306866,12.144710532643494,12.144698158515832,12.141312388360891,12.136444900208467,12.135273732707676,12.1359159045391,12.136162946362118,12.136179791700018,12.13349187360492,12.12956192702342,12.126871013642928,12.131605082902107,12.15893088634978,12.189531175791624,12.12521913539076,12.128132056506841,12.131080186911133,12.133993612535093,12.258209964070202,12.229582669675773,12.14420760608671,12.142524936447115,12.144984558327394,12.149399754838187,12.152063271361564,12.153841777436835,0.0,0.0,0.0,0.0,0.0,0.0
4,CO2_1_Fin_01-26_4,4.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.0,25.0,23.0,24.0,23.0,23.0,25.0,25.0,25.0,23.0,23.0,23.0,1.182274433,0.492906987,128.0559448,-0.090328273,0.115775301,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.254400727115256,12.144762853480884,12.144746592673423,12.141353883453606,12.136480090531219,12.135305912091177,12.135945712132719,12.136190349827565,12.136205349142255,12.133515314567916,12.129583236296998,12.126890776088198,12.12822058720744,12.1238591491006,12.123382881851683,12.125182236986074,12.128160529619494,12.131112827141436,12.13402465116768,12.254725528538952,12.227664518974604,12.230759753708046,12.241266770946213,12.24774269959847,12.251822265105696,12.152307904328278,12.153951526402208,0.0,0.0,0.0,0.0,0.0,0.0
5,CO2_1_Fin_01-26_5,5.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,1.182352265,0.393254551,128.0666666,-0.081963109,0.105053526,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.254189623396023,12.144724248720488,12.144713123100964,12.14132591659244,12.136457244101395,12.13528627378454,12.135928379014423,12.136175081858875,12.136192100500349,12.133504193156867,12.129574040479696,12.126882985110932,12.127888542685811,12.156817427312836,12.18612967514523,12.19824822880212,12.203810171177807,12.201014739532333,12.205963873809303,12.1384799700119,12.143498711606012,12.26898430299405,12.244877026149444,12.145132753502441,12.149435288924286,12.15208705629383,12.153863734312138,0.0,0.0,0.0,0.0,0.0,0.0
6,CO2_1_Fin_01-26_6,6.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,23.0,24.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,24.0,1.182497033,0.32704521,128.0817037,-0.070231106,0.09001641699999999,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.254362573481052,12.144733731775002,12.144721857870232,12.141333382939498,12.136463560796148,12.135292031390241,12.135933696913181,12.136179963393628,12.136196629779587,12.133508323476615,12.12957777717672,12.126886436200026,12.124829985065672,12.12385237181077,12.123380557864694,12.22860184817489,12.206991387801887,12.201117306342566,12.20600415306329,12.213832804037418,12.21967654306258,12.228398591732045,12.23892352999351,12.145155032170047,12.149456792489595,12.152106363992177,12.15388071927798,0.0,0.0,0.0,0.0,0.0,0.0
7,CO2_1_Fin_01-26_7,7.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,26.0,24.0,23.0,23.0,23.0,24.0,23.0,24.0,23.0,26.0,1.182012243,0.556096774,128.02920759999998,-0.111188756,0.142512541,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253947162570855,12.1447242314059,12.144712088126187,12.14132471462072,12.136455830798123,12.135284408698858,12.135926262546414,12.1361728272239,12.136189554805325,12.133501397624155,12.129571086020963,12.126879910943074,12.129165416218372,12.1575442984033,12.187301821589445,12.125226146724266,12.128141292331273,12.239490165932637,12.21442082485488,12.138491734787785,12.14350692450388,12.271510965831334,12.246711541578323,12.145139517715917,12.149439229497155,12.15208953262512,12.153865200330213,0.0,0.0,0.0,0.0,0.0,0.0
8,CO2_1_Fin_01-26_8,8.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,24.0,24.0,23.0,23.0,24.0,25.0,24.0,23.0,23.0,26.0,1.181570622,0.7302565529999999,127.98013999999999,-0.149471469,0.191580153,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25373221423524,12.14473059218722,12.144716521662746,12.141328057154373,12.136458102467314,12.135285676580809,12.13592688264904,12.136172965592683,12.136189043594838,12.133500263427207,12.129569463963612,12.126877930098672,12.130585902300803,12.123850379566042,12.123371871510729,12.125170934933355,12.12814943687685,12.131101958587484,12.134014052863737,12.257983140381224,12.229451533604363,12.232354397863379,12.242932182657372,12.145164030499014,12.149459317332393,12.152106063401352,12.153878737771471,0.0,0.0,0.0,0.0,0.0,0.0
9,CO2_1_Fin_01-26_9,9.0,0.0,0.0,Finningley.inp,optimised_CoolSP.inp,01-26.inp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,25.0,26.0,24.0,23.0,23.0,23.0,24.0,25.0,24.0,23.0,26.0,1.181382132,0.811507258,127.96066809999999,-0.164663514,0.21105205800000001,128.1717201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.253531084153725,12.144718984181559,12.144705842547744,12.141318927410316,12.136450385017122,12.135278659218084,12.135920408592801,12.136167037355948,12.136183543190892,12.133495247885147,12.129564932370632,12.126873750678332,12.131252515502437,12.158730704869122,12.189208711908313,12.125221093166703,12.128134273557519,12.131082355318448,12.133995698443584,12.138394174751484,12.1434901377068,12.277529260144261,12.249945969701246,12.14513659646232,12.149432853554854,12.152082336174557,12.153857872025336,0.0,0.0,0.0,0.0,0.0,0.0
