occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.09917042,0.04031214,0.03759332,0.13054768,0.12868697,0.15042852,0.12758481,0.11936807
0.08126258,0.02020068,0.04303126,0.21524029,0.08627974,0.11701148,0.18230429,0.12409349
0.11619438,0.03438186,0.03587479,0.19294968,0.13943919,0.08661473,0.19587303,0.08121289
0.10906322,0.03325406,0.01714755,0.19086915,0.07982189,0.06675979,0.17680536,0.19141181
0.0975,0.0400951,0.03054403,0.17391294,0.0725126,0.15252061,0.11481967,0.18409233
0.0975,0.01604309,0.01356018,0.13512858,0.2225,0.11418109,0.0925,0.1320018
0.0975,0.0225,0.01476332,0.049646,0.22177328,0.10456697,0.06751667,0.0760239
0.053,0.0125,0.04351281,0.05107746,0.18167059,0.0895,0.10642041,0.04365253
0.0085,0.01,0.0175,0.05729993,0.155,0.05888471,0.08339972,0.02651453
0.055,0.06,0.01614396,0.05456897,0.17578904,0.07469582,0.13004175,0.10319925
0.045,0.01141667,0.01452753,0.0793411,0.17840155,0.08078657,0.13082639,0.18135922
0.005,0.0125,0.0316833,0.07534561,0.07616818,0.08574138,0.10652442,0.15074007
0.055,0.05185152,0.06386341,0.10725378,0.09227195,0.10357158,0.09246377,0.16460178
0.03992945,0.11494817,0.06565281,0.24494347,0.2297392,0.18167961,0.15567817,0.26659255
0.13273451,0.22360774,0.09348391,0.36608162,0.42568987,0.41370739,0.36966231,0.46601838
0.12192246,0.33747476,0.34693465,0.50809878,0.64611894,0.52553774,0.75080278,0.58483405
0.15963065,0.27196744,0.46603635,0.49197821,0.56314984,0.55973092,0.71042872,0.51026148
0.16934953,0.19265951,0.41495424,0.45573019,0.48531575,0.71698625,0.55739152,0.46961425
0.14790478,0.19333467,0.4027976,0.22568005,0.40346404,0.44896605,0.42600674,0.47417905
0.09896098,0.17765822,0.36016216,0.25102218,0.2107064,0.38455995,0.27565596,0.27219679
0.08827284,0.1086669,0.29489416,0.24561437,0.14009298,0.3542682,0.23517642,0.19618813
0.19126106,0.17783328,0.87341248,0.25372246,0.15798798,0.29213567,0.17430911,0.1435
0.12923011,0.16923629,0.62642963,0.26252089,0.21461303,0.19356243,0.17221035,0.27881506
0.1913402,0.18924849,0.4192989,0.34415834,0.24277143,0.31595117,0.34133621,0.23022271
0.28453915,0.11070066,0.44196139,0.39189293,0.47054828,0.22526628,0.32311837,0.22656917
0.14233353,0.14250155,0.3421404,0.25353106,0.31462803,0.42508491,0.24635811,0.94271122
0.15423603,0.11957968,0.32623242,0.53598529,1.6069152,0.28410369,0.21549363,0.26315986
0.18879662,0.30040286,0.26113723,0.34952048,0.3569582,0.29640684,0.17260718,0.21841897
0.17452621,0.20898771,0.26153214,0.27811122,0.27141179,0.33198593,0.35778958,0.31202301
0.07301123,0.17686663,0.24876455,0.28881663,0.2667676,0.17702534,0.3194654,0.26854891
0.11498129,0.06255636,0.11202753,0.16386784,0.16193099,0.18003195,0.35768089,0.28464953
0.33937968,0.11487593,0.24580006,0.29346413,0.27336355,0.40545556,0.37351748,0.31319766
0.19381496,0.22338866,0.40369711,0.59118934,0.29417357,0.47355315,0.51291825,0.36661091
0.20307421,0.38887025,0.47880884,0.74613077,0.54292471,0.70536888,0.64938118,0.60393991
0.33743595,0.51329395,1.51986822,0.79556149,0.6124777,0.63716377,0.57202786,1.32075606
0.34310532,0.50532655,2.14174567,0.83399172,0.7042759,0.98066513,0.79351331,0.80943708
0.60242484,0.56750904,1.14352864,0.79683344,0.66622441,0.81570777,1.4480893,0.64354368
0.48019523,0.68094904,1.15487195,0.73317229,0.69581146,0.57860615,0.95645918,0.79424096
0.43946533,0.48789676,1.14323294,0.59039881,0.6674434,0.54956276,0.83273016,0.73129061
0.35720884,0.36387468,0.4120335,0.51362181,0.46517251,0.46943353,0.67419793,0.6588648
0.38775514,0.32864427,0.48367017,0.656429,0.41134677,0.43268749,0.64072865,0.54334699
0.37638373,0.28582013,0.53002181,0.55637798,0.42209927,0.56011181,1.2131087,0.50067006
0.3090967,0.37897266,0.42815835,0.45780867,0.43449158,0.53592152,0.86450369,0.50369926
0.28224047,0.42233615,0.37371696,0.42133023,0.50477921,0.46852213,0.8625675,0.42743065
0.28051125,0.34407723,0.41727732,0.39357142,0.49445083,0.42424608,0.61904542,0.36419974
0.23704448,0.35488604,0.3312863,0.49369537,0.26983611,0.41377396,0.54425713,0.42227037
0.19516629,0.31635204,0.29866983,0.3884687,0.26822976,0.35051089,0.53181965,0.39291402
0.15210859,0.26309489,0.25275352,0.32351127,0.21456158,0.22383812,0.43692189,0.35276972
