demand0,demand1,demand2,demand3,demand4,demand5,demand6,demand7,demand8,demand9,demand10,demand11,demand12,demand13,demand14,demand15,demand16,demand17,demand18,demand19,demand20,demand21,demand22,demand23,demand24,demand25,demand26,demand27,demand28,demand29,demand30,demand31,demand32,demand33,demand34,demand35,demand36,demand37,demand38,demand39,demand40,demand41,demand42,demand43,demand44,demand45,demand46,demand47,demand48,demand49,demand50,demand51,demand52,demand53,demand54,demand55,demand56,demand57,demand58,demand59,demand60,demand61,demand62,demand63,demand64,demand65,demand66,demand67,demand68,demand69,demand70,demand71,demand72,demand73,demand74,demand75,demand76,demand77,demand78,demand79,demand80,demand81,demand82,demand83,demand84,demand85,demand86,demand87,demand88,demand89,demand90,demand91,demand92,demand93,demand94,demand95,demand96,demand97,demand98,demand99,demand100,demand101,demand102,demand103,demand104,demand105,demand106,demand107,demand108,demand109,demand110,demand111,demand112,demand113,demand114,demand115,demand116,demand117,demand118,demand119,demand120,demand121,demand122,demand123,demand124,demand125,demand126,demand127,demand128,demand129,demand130,demand131,demand132,demand133,demand134,demand135,demand136,demand137,demand138,demand139,demand140,demand141,demand142,demand143,demand144,demand145,demand146,demand147,demand148,demand149,demand150,demand151,demand152,demand153,demand154,demand155,demand156,demand157,demand158,demand159,demand160,demand161,demand162,demand163,demand164,demand165,demand166,demand167,demand168,demand169,demand170,demand171,demand172,demand173,demand174,demand175,demand176,demand177,demand178,demand179,demand180,demand181,demand182,demand183,demand184,demand185,demand186,demand187,demand188,demand189,demand190,demand191,demand192,demand193,demand194,demand195,demand196,demand197,demand198,demand199
0.24,0.3,1.1,0.7,0.66,0.9,0.02,0.5,0.16,0.38,0.16,0.14,0.14,0.16,0.32,0.18,0.02,0.06,0.1,0.32,0.26,0.18,0.4,0.24,0.28,0.08,0.22,0.42,0.24,0.46,2.74,0.3,0.22,0.12,0.04,0.92,0.14,0.06,0.12,0.14,0.3,0.36,0.8,0.3,0.14,0.16,0.18,0.32,0.18,0.08,0.04,0.54,0.16,0.22,0,0.12,0.42,0.18,0.18,0.18,0.06,0.2,0.16,0.22,0.08,0.2,0.34,0.66,0.14,0.1,0.12,0.12,0.26,0.24,0.14,1.2,1.02,0.66,0.4,0.1,0.14,0.12,0.14,0.14,0.3,0.06,0.04,0.18,0.26,0.12,0.14,0.04,0.14,0.14,0.12,0.06,0.16,0.64,0.26,0.34,0.18,0.12,0.1,0.18,0.22,0.2,0.46,0.22,0.1,0.14,0.34,0.12,0.12,1,0.58,0.06,0.12,0.54,0.48,0.22,0.36,0.48,0.12,0.2,0.08,0.52,0.12,0.2,0.24,0.14,0.42,0.32,0.04,0.18,0.3,0.14,0.36,0.06,1.36,0.1,0.2,0.1,0.08,0.04,0.38,0.18,0.2,0.22,0.28,0.22,0.04,0.38,0.3,0.06,0.1,0.34,0.24,0.4,0.18,1.04,0.12,0.12,0.1,0.18,0.06,0.16,0.12,0.18,0.86,0.82,0.46,0.04,0.08,0.48,2.4,0.24,0.4,0.24,0.06,0.1,0.14,0.56,0.1,0.42,0.6,0.12,0.22,0.2,0.26,0.7,0.14,0.2,0.14,0.04,0.1,0.94,0.2,0.1,0.18,0.18
0.4,0.16,0.14,0.62,0.42,3.42,0.02,1.06,0.14,0.3,0.22,0.12,0.12,0.16,0.44,0.22,0.12,0.06,0.12,0.32,0.24,0.2,0.38,0.24,0.28,0.16,0.2,0.14,0.26,0.42,2.26,0.22,0.26,0.08,0.18,0.82,0.24,0.12,0.04,0.06,0.36,0.34,1.74,0.24,0.14,0.1,0.06,0.24,0.12,0.08,0.18,0.28,3.24,0.22,0,0.12,0.36,0.16,0.12,0.18,0.02,0.12,0.24,0.18,0.08,0.2,0.28,0.66,0.12,0.2,0.12,0.16,0.22,0.24,0.16,1.28,0.38,0.48,0.32,0.12,0.14,0.14,0.18,1,0.26,0.1,0.04,0.12,0.18,0.12,0.14,0.06,0.06,0.14,0.12,0.1,0.2,1.22,0.24,0.22,0.22,0.22,0.04,0.18,0.22,0.18,0.68,0.22,0.12,0.16,0.34,0.12,0.16,1.02,0.54,0.18,0.08,0.4,3.04,0.2,0.32,0.44,0.14,0.12,0.08,0.54,0.04,0.24,0.18,0.2,0.36,0.24,0.04,0.18,0.32,0.12,0.34,0.06,1.42,0.08,0.1,0.12,0.08,0.06,0.4,0.2,0.18,0.16,0.28,0.28,0.16,0.24,0.34,0.08,0.1,0.14,0.18,0.48,0.16,0.44,0.12,0.14,0.04,0.2,0.06,0.08,0.12,0.48,0.84,1.5,0.68,0.08,0.12,0.48,1.2,0.24,0.46,0.24,0.08,0.16,0.08,0.46,0.14,0.4,0.56,0.16,0.7,0.22,0.34,0.38,0.08,0.16,0.12,0.06,0.08,0.5,0.2,0.1,0.14,0.18
0.56,0.22,0.16,0.24,0.38,3.38,0.1,1.22,0.24,0.3,0.14,0.1,0.12,0.18,0.4,0.2,0.02,0.06,0.1,0.4,0.14,0.24,0.42,0.22,1.06,0.18,0.2,0.1,0.2,0.22,0.24,0.22,0.28,0.14,0.56,0.86,0.12,0.1,0.12,0.08,0.18,0.4,0.46,0.3,0.16,0.16,0.02,0.34,0.16,0.08,0.22,0.16,2.66,0.22,0,0.18,0.36,0.08,0.18,0.12,0.04,0.14,0.16,0.18,0.06,0.2,0.28,0.66,0.14,0.12,0.12,0.14,0.28,0.2,0.2,1.18,0.26,0.2,0.36,0.14,0.14,0.06,0.12,3.46,0.28,0.1,0.02,0.2,0.14,0.12,0.14,0.08,0.1,0.12,0.12,0.3,0.18,2.22,0.28,0.26,0.22,0.24,0.12,0.28,0.12,0.18,3.18,0.22,0.1,0.18,0.34,0.12,0.1,1,0.56,0.06,0.1,0.28,2.96,0.14,0.34,0.3,0.12,0.12,0.08,0.66,0.12,0.2,0.26,0.24,0.54,0.28,0.04,0.1,0.32,0.12,0.32,0.06,1.34,0.14,0.08,0.22,0.1,0.06,1.26,0.28,0.22,0.08,0.28,0.24,0.04,0.26,0.32,0.1,0.12,0.64,0.24,0.46,0.16,0.34,0.12,0.12,0.08,0.18,0.04,0.18,0.16,0.16,0.44,0.96,0.72,0.08,0.04,0.46,1.08,0.24,0.3,0.24,0.1,0.1,0.14,0.38,0.08,0.36,0.52,0.12,0.12,0.26,0.28,0.4,0.1,0.18,0.12,0.08,0.08,0.34,0.28,0.16,0.18,0.18
0.42,0.2,0.22,0.2,0.38,0.92,0.14,0.8,0.22,0.42,0.12,0.1,0.12,0.16,0.36,0.16,0.06,0.08,0.12,0.28,0.22,0.2,1.14,0.22,0.6,0.14,0.2,0.16,0.14,0.18,0.74,0.32,0.2,0.1,0.12,0.78,0.18,0.08,0.06,0.22,0.28,0.32,0.44,0.3,0.1,0.1,0.06,0.26,0.1,0.08,0.22,0.14,0.16,0.22,0,0.12,0.36,0.14,0.12,0.18,0.06,0.14,0.22,0.22,0.06,0.2,0.28,0.66,0.08,0.12,0.12,0.18,0.26,0.26,0.16,1.12,0.18,0.16,0.36,0.08,0.14,0.06,0.16,0.24,0.28,0.06,0.06,1.48,0.24,0.12,0.14,0.04,0.14,0.16,0.58,0.12,0.16,1.96,0.24,0.28,0.2,0.14,0.12,0.26,0.12,0.16,0.28,0.28,0.24,0.14,0.32,0.1,0.14,1.04,0.5,0.12,0.08,0.24,2.9,0.18,0.38,0.28,0.14,0.26,0.08,0.48,0.06,0.06,0.3,0.22,0.46,0.3,0.04,0.08,0.3,0.16,0.36,0.1,1.34,0.18,0.1,0.12,0.06,0.02,0.4,0.3,0.16,0.14,0.62,0.3,0.06,0.26,0.26,0.06,0.14,0.2,0.2,0.46,0.16,0.22,0.12,0.14,0.04,0.2,0.06,0.12,0.24,0.18,0.18,0.82,0.76,0.06,0.1,0.48,1.18,0.24,0.36,0.24,0.1,0.16,0.1,0.44,0.12,0.48,0.52,0.06,0.16,0.26,0.26,0.44,0.12,0.16,0.12,0.04,0.08,0.32,0.24,0.18,0.18,0.18
0.2,0.16,0.2,0.24,0.5,0.4,0.14,0.16,0.12,0.32,0.2,0.1,0.22,0.16,0.32,0.22,0.08,0.08,0.12,0.3,0.26,0.16,1.24,0.28,0.52,0.12,0.2,0.16,0.14,0.22,0.34,0.54,0.18,0.12,0.16,0.78,0.2,0.1,0.06,0.04,0.3,0.38,0.42,0.26,0.18,0.18,0,0.32,0.2,0.08,0.22,0.12,0.16,0.22,0,0.12,0.36,0.1,0.16,0.14,0,0.1,0.18,0.22,0.08,0.2,0.28,0.58,0.18,0.2,0.08,0.44,0.3,0.22,0.16,1.12,0.18,0.4,0.48,0.18,0.12,0.14,0.16,0.14,0.28,0.12,0.02,1.06,0.28,0.14,0.12,0.08,0.08,0.12,0.04,0.04,0.18,0.16,0.28,0.24,0.2,0.12,0.06,0.18,0.2,0.16,0.24,0.3,0.2,0.14,0.22,0.12,0.14,1.08,0.64,0.14,0.1,0.36,2.92,0.14,0.34,0.32,0.12,0.12,0.08,0.46,0.12,0.06,0.24,0.2,0.46,0.24,0.04,0.18,0.32,0.14,0.36,0.14,1.52,0.14,0.14,0.14,0.1,0.04,0.26,0.24,0.18,0.16,0.32,0.18,1.32,0.22,0.28,0.08,0.1,0.2,0.22,0.42,0.16,0.16,0.12,0.12,0.08,0.2,0.06,0.04,0.14,0.18,0.2,0.8,0.6,0.06,0.08,0.46,1.18,0.14,0.34,0.16,0.06,0.1,0.08,0.56,0.1,0.4,0.52,0.2,0.18,0.2,0.16,0.42,0.06,0.12,0.12,0.08,0.08,0.42,0.2,0.1,0.14,0.18
0.3,0.22,0.22,0.18,0.48,0.5,0.02,0.38,0.2,0.36,0.18,0.1,0.14,0.18,0.52,0.2,0.02,0.08,0.08,0.4,0.32,0.22,1.42,0.28,1.4,0.14,0.16,0.1,0.14,0.12,0.26,0.34,0.16,0.08,0.12,0.84,0.12,0.1,0.1,0.1,0.52,0.32,0.44,0.28,0.12,0.12,0.08,0.32,0.1,0.08,0.22,0.08,0.08,0.22,0,0.12,0.34,0.12,1.46,0.16,0.06,0.12,0.18,0.22,0.08,0.2,0.28,0.66,0.08,0.12,0.14,0.14,0.28,0.2,0.14,1.14,0.28,0.16,1.56,0.1,0.16,0.1,0.14,0.14,0.26,0.1,0.06,0.5,0.2,0.14,0.12,0.04,0.08,0.14,0.14,0.08,0.18,0.18,0.28,0.32,0.22,0.12,0.08,0.18,0.22,0.2,0.3,0.3,0.14,0.14,0.34,0.04,0.1,1.08,0.52,0.04,0.12,0.24,2.86,0.26,0.26,0.38,0.16,0.12,0.1,0.36,0.06,0.2,0.26,0.14,0.38,0.3,0.04,0.18,0.38,0.1,0.28,0.14,1.46,0.18,0.08,0.1,0.08,0.06,0.24,0.2,0.3,0.1,0.26,0.32,3.02,0.26,0.4,0.1,0.08,0.16,0.2,0.38,0.08,0.32,0.12,0.14,0.06,0.18,0.06,0.14,0.16,0.16,0.16,0.8,0.52,0.08,0.06,0.48,1.08,0.1,0.38,0.16,0.06,0.14,0.16,0.5,0.08,0.42,0.52,0.14,0.3,0.22,0.16,0.4,0.12,0.14,0.14,0.06,0.08,1.9,0.26,0.1,0.16,0.18
0.26,0.18,0.16,0.18,0.48,0.38,0.1,0.42,0.18,0.56,0.12,0.1,0.12,0.16,2.02,0.16,0.12,0.08,0.14,0.46,0.22,0.22,0.38,0.22,0.36,0.1,0.06,0.14,0.12,0.18,0.7,0.26,0.18,0.12,0.12,0.82,0.2,0.16,0.04,0.1,0.18,0.32,0.44,0.26,0.16,0.18,0,0.38,0.16,0.08,0.22,0.08,0.16,0.22,0,0.18,0.34,0.1,3.36,0.12,0.04,0.18,0.22,1.8,0.08,0.2,0.28,0.66,0.14,0.14,0.1,0.16,0.3,0.26,0.16,1.1,0.22,0.2,3.36,0.1,0.12,0.06,0.14,0.72,0.26,0.06,0.02,0.16,0.18,0.14,0.12,0.04,0.14,0.12,0.12,0,0.24,0.16,0.26,0.3,0.22,0.22,0.16,0.18,0.18,0.16,0.3,0.3,0.1,0.14,0.26,0.06,0.16,1.06,0.5,0.18,0.1,0.4,4.5,0.18,0.38,0.38,0.12,0.2,0.08,0.3,0.12,0.16,0.24,0.22,0.4,0.28,0.04,0.18,0.38,0.12,0.28,0.14,1.5,0.12,0.1,0.24,0.08,0.02,0.24,0.18,0.24,0.2,0.26,0.22,0.78,0.26,0.28,0.06,0.16,0.18,0.22,0.4,0.7,0.24,0.04,0.1,0.06,0.2,0.06,0.08,0.1,0.14,0.14,1.28,0.54,0.06,0.12,0.5,1.2,0.1,0.36,0.16,0.06,0.12,0.06,0.4,0.14,0.48,0.52,0.06,0.44,0.24,0.2,0.4,0.1,0.16,0.14,0.28,0.08,1.24,0.18,0.1,0.18,0.18
0.2,0.18,0.14,0.14,0.44,0.48,0.1,0.22,0.18,0.64,0.14,0.1,0.12,0.16,1.02,0.22,0.02,0.08,0.12,0.44,0.28,0.16,0.36,0.24,0.34,0.14,0.06,0.16,0.14,0.26,0.34,0.28,0.16,0.1,0.14,0.76,0.16,0.18,0.12,0.1,0.2,0.36,0.42,1.24,0.16,0.1,0.14,0.28,0.12,0.08,0.2,0.06,0.16,0.18,0,0.12,0.38,0.12,1.56,0.2,0.02,0.18,0.18,0.82,0.06,0.2,0.28,0.66,0.1,0.18,0.12,0.14,0.28,0.2,0.2,1.24,0.2,0.16,3.4,0.16,0.18,0.1,0.12,0.14,0.22,0.12,0.06,0.14,0.12,0.12,0.12,0.08,0.08,0.14,0.1,0.06,0.2,0.14,0.26,0.28,0.2,0.24,0.06,0.28,0.12,0.16,0.3,0.22,0.1,0.16,0.16,0.04,0.12,1.08,0.48,0.06,0.12,0.38,4.58,0.14,0.34,0.38,0.16,0.14,0.08,0.3,0.06,0.1,0.2,0.24,0.54,0.24,0.04,0.2,0.38,0.14,0.28,0.12,1.7,0.08,0.08,0.66,0.1,0.06,0.24,0.3,0.26,0.1,0.28,0.28,0.12,0.24,0.26,0.06,0.12,0.18,0.28,0.24,0.16,0.22,0,0.12,0.08,0.18,0.04,0.08,0.1,0.16,0.1,1.22,0.56,0.04,0.04,0.46,1.1,0.08,0.3,0.16,0.1,0.1,0.1,0.38,0.08,0.42,0.54,0.12,0.12,0.24,0.26,0.4,0.08,0.14,0.12,0.12,0.08,0.68,0.26,0.14,0.16,0.18
0.2,0.2,0.2,0.22,0.36,0.38,0.02,0.18,0.24,0.5,0.2,0.12,0.12,0.16,0.4,0.2,0.06,0.06,0.08,0.34,0.32,0.22,0.36,0.22,0.34,0.14,0.06,0.1,3.16,0.2,0.28,0.2,0.16,0.08,0.14,0.78,0.12,0.14,0.04,0.16,0.2,0.3,0.44,0.82,0.12,0.18,0.12,0.3,0.18,0.08,0.22,0.08,0.1,0.16,0,0.12,0.34,0.12,0.16,0.08,0.06,0.18,0.22,0.34,0.08,0.2,0.32,0.58,0.16,0.12,0.1,0.16,0.28,0.16,0.16,1.12,0.22,0.2,1.74,0.06,0.12,0.82,0.18,0.22,0.22,0.08,0.2,0.16,0.26,0.12,0.14,0.04,0.06,0.12,0.5,0.1,0.18,0.12,0.24,0.28,3.66,0.14,0.06,0.28,0.14,0.18,0.24,0.22,0.12,0.16,0.2,0.06,0.14,1,0.44,0.14,0.08,0.3,3.06,0.16,0.3,0.38,0.1,0.1,0.08,0.22,0.1,0.1,0.2,0.14,0.42,0.32,0.04,0.14,0.38,0.14,0.28,0.04,1.48,0.06,0.08,0.26,0.06,0.06,0.26,0.28,0.2,0.18,0.44,0.2,0.04,0.28,0.32,0.1,0.08,0.14,0.42,0.24,0.14,0.36,0.02,0.12,0.04,0.22,0.06,0.14,0.22,0.18,0.18,1,0.58,0.06,0.1,0.42,1.12,0.02,0.4,0.16,0.08,2.16,0.12,0.54,0.08,0.48,0.46,0.14,0.22,0.34,0.38,0.42,0.14,0.12,0.12,0.06,0.08,0.38,0.26,2.16,0.14,0.18
0.12,0.2,0.24,0.22,0.32,0.56,0.1,0.36,0.12,0.48,0.16,0.1,0.18,0.16,3.12,0.16,0.06,0.06,0.12,0.34,0.32,0.22,0.28,0.2,0.34,0.08,0.06,0.22,0.24,0.2,0.2,0.24,0.16,0.14,0.6,0.86,0.24,0.08,0.08,0.08,0.2,0.36,0.42,0.16,0.18,0.1,0.1,0.3,0.12,0.08,0.2,0.08,0.14,0.16,0,0.12,0.34,1.12,1.1,0.22,0,0.04,0.24,0.34,0.08,0.2,0.38,0.66,0.1,0.14,0.1,0.14,0.28,0.18,0.14,1.12,0.28,0.14,0.94,0.14,0.16,0.76,0.12,0.22,0.52,0.08,0.06,0.16,0.28,0.12,0.14,0.06,0.16,0.14,0.12,0.04,0.14,0.16,0.24,0.22,0.72,0.12,0.14,0.24,0.22,0.16,0.26,0.22,0.08,0.12,0.34,0.1,0.1,1.18,0.58,0.1,0.1,0.32,3.04,0.14,0.3,0.62,0.16,0.22,0.08,0.44,0.08,0.1,0.18,0.2,0.4,0.26,0.04,0.06,0.32,0.12,0.26,0.04,1.4,0.18,0.1,0.18,0.1,0.02,0.24,0.22,0.2,0.16,0.34,0.26,0.7,0.24,0.34,0.08,0.34,0.16,0.4,0.3,1.5,0.26,0.12,0.14,0.1,0.18,0.06,0.04,0.22,0.16,0.3,1,0.56,0.06,0.08,0.5,1.38,0.02,0.38,0.26,0.06,3.44,0.08,0.56,0.16,0.46,0.48,0.14,0.16,0.32,0.36,0.48,0.06,0.16,0.12,0.04,0.1,0.38,0.18,0.1,0.18,0.18
