STNO,YEAR,MM,DD,HH,Clobal solar irradiation,Diffuse solar irradiation,SF_R,SF_S,Cloud Cover (octas),Dry bulb temp (oC),Wet bulb temp (oC),Atmospheric Pressure (hPa),Wind Speed (knots),Wind Direction (deg clock from N),RA,RD,Present weather code,SOLALT
10,1990,12,1,1,0,0,0,0,7,6.9,5.9,1031.1,3.09,280,0,0,2,-59.8
10,1990,12,1,2,0,0,0,0,7,6.5,5.2,1033.3,3.09,10,0,0,2,-55.6
10,1990,12,1,3,0,0,0,0,7,6.2,5.1,1033.7,4.12,10,0,0,2,-48.5
10,1990,12,1,4,0,0,0,0,7,6,5,1033.9,3.6,10,0,0,2,-40
10,1990,12,1,5,0,0,0,0,7,5.8,5,1034.1,3.09,10,0,0,2,-30.8
10,1990,12,1,6,0,0,0,0,7,6,5.1,1034.3,2.57,320,0,0,2,-21.4
10,1990,12,1,7,0,0,0,0,7,6.1,5.1,1034.9,2.06,330,0,0,2,-12.4
10,1990,12,1,8,0,0,0,0,7,6.3,5.3,1035.6,1.54,340,0,0,2,-3.9
10,1990,12,1,9,6,6,0,0,7,6.2,5.3,1036.4,1.03,290,0,0,2,3.6
10,1990,12,1,10,28,28,0,0,7,6.4,5.4,1037,2.06,290,0,0,2,9.8
10,1990,12,1,11,73,73,0,0,7,6.7,5.4,1037.1,2.57,290,0,0,2,14.2
10,1990,12,1,12,91,90,0,0,7,7.5,5.6,1036.9,3.09,310,0,0,2,16.5
10,1990,12,1,13,115,114,0,0,7,8,5.7,1036.2,3.09,310,0,0,2,16.5
10,1990,12,1,14,84,83,0,0,8,7.9,5.4,1035.8,3.6,320,0,0,2,14.2
10,1990,12,1,15,25,25,0,0,8,7.4,5.1,1036,3.09,320,0,0,2,9.7
10,1990,12,1,16,9,9,0,0,7,7,5.1,1036,2.06,320,0,0,5,3.6
10,1990,12,1,17,0,0,0,0,8,6.6,4.8,1036.7,2.06,320,0,0,5,-4
10,1990,12,1,18,0,0,0,0,8,6.4,4.4,1036.6,2.06,310,0,0,5,-12.4
10,1990,12,1,19,0,0,0,0,8,6,3.9,1036.9,2.57,310,0,0,2,-21.5
10,1990,12,1,20,0,0,0,0,8,5.9,3.7,1036.9,2.06,320,0,0,2,-30.8
10,1990,12,1,21,0,0,0,0,8,5.6,3.5,1037,1.54,310,0,0,2,-40.1
10,1990,12,1,22,0,0,0,0,8,5.6,3.5,1037.4,1.54,300,0,0,2,-48.6
10,1990,12,1,23,0,0,0,0,7,5.5,3.5,1037.1,1.54,300,0,0,2,-55.7
10,1990,12,1,24,0,0,0,0,7,5.5,3.5,1037.2,1.54,280,0,0,2,-59.9
10,1990,12,2,1,0,0,0,0,7,5.3,3.3,1036.7,2.06,280,0,0,2,-59.9
10,1990,12,2,2,0,0,0,0,7,5,3,1036.6,2.06,300,0,0,2,-55.7
10,1990,12,2,3,0,0,0,0,7,5,2.9,1036.7,2.06,300,0,0,2,-48.7
10,1990,12,2,4,0,0,0,0,7,4.6,2.7,1036.4,1.54,270,0,0,2,-40.1
10,1990,12,2,5,0,0,0,0,7,4.2,2.6,1036,1.54,270,0,0,2,-30.9
10,1990,12,2,6,0,0,0,0,7,4.7,3.1,1036.1,1.54,280,0,0,2,-21.5
10,1990,12,2,7,0,0,0,0,7,4.7,3,1036.1,2.06,270,0,0,2,-12.5
10,1990,12,2,8,0,0,0,0,7,4.8,3.1,1036.3,2.57,280,0,0,2,-4
10,1990,12,2,9,19,19,0,0,8,4.7,3.1,1036.4,2.57,270,0,0,2,3.5
10,1990,12,2,10,42,42,0,0,8,5,3.4,1036.3,2.06,270,0,0,2,9.6
10,1990,12,2,11,39,39,0,0,7,5.2,3.6,1036.2,1.54,280,0,0,2,14.1
10,1990,12,2,12,46,46,0,0,8,5.3,3.8,1035.7,2.06,280,0,0,2,16.4
10,1990,12,2,13,40,40,0,0,8,5.4,3.8,1035.2,1.54,280,0,0,2,16.4
10,1990,12,2,14,42,42,0,0,8,5.5,3.9,1034.5,1.54,270,0,0,5,14
10,1990,12,2,15,31,31,0,0,8,5.6,4,1034.1,1.03,260,0,0,5,9.6
10,1990,12,2,16,11,11,0,0,8,5.1,4,1034.1,1.54,260,0,0,5,3.5
10,1990,12,2,17,0,0,0,0,7,5.2,4,1034.2,1.03,260,0,0,5,-4.1
10,1990,12,2,18,0,0,0,0,7,5.5,4.1,1033.9,1.03,230,0,0,5,-12.5
10,1990,12,2,19,0,0,0,0,7,5.5,4.2,1033.9,1.03,220,0,0,5,-21.6
10,1990,12,2,20,0,0,0,0,7,5.4,4.2,1033.7,1.54,230,0,0,5,-30.9
10,1990,12,2,21,0,0,0,0,7,5.5,4.3,1033.4,1.03,240,0,0,5,-40.2
10,1990,12,2,22,0,0,0,0,7,5.6,4.2,1033,1.54,200,0,0,5,-48.8
10,1990,12,2,23,0,0,0,0,8,5.3,4.1,1032.5,1.54,210,0,0,5,-55.8
10,1990,12,2,24,0,0,0,0,7,5.1,4,1032.1,1.03,210,0,0,5,-60.1
10,1990,12,3,1,0,0,0,0,7,5.1,4.1,1031.6,1.03,210,0,0,5,-60.1
10,1990,12,3,2,0,0,0,0,8,5.1,4.1,1031.2,1.54,250,0,0,5,-55.9
10,1990,12,3,3,0,0,0,0,8,5.1,4.2,1031,1.03,250,0,0,5,-48.8
10,1990,12,3,4,0,0,0,0,8,5.1,4.3,1030.7,1.03,250,0,0,5,-40.2
10,1990,12,3,5,0,0,0,0,8,5,4.3,1030.7,1.03,260,0,0,5,-31
10,1990,12,3,6,0,0,0,0,7,5,4.3,1030.7,1.54,260,0,0,5,-21.7
10,1990,12,3,7,0,0,0,0,7,5.1,4.3,1030.4,1.03,270,0,0,5,-12.6
10,1990,12,3,8,0,0,0,0,7,5.3,4.6,1030.3,1.54,260,0,0,5,-4.1
10,1990,12,3,9,7,7,0,0,8,5.6,4.7,1030.5,1.54,260,0,0,5,3.5
10,1990,12,3,10,25,25,0,0,7,6,5,1030.1,1.54,260,0,0,5,9.5
10,1990,12,3,11,32,32,0,0,7,6.3,5,1030,1.54,260,0,0,5,13.9
10,1990,12,3,12,61,61,0,0,8,7,5.4,1029.5,2.06,260,0,0,5,16.2
10,1990,12,3,13,61,61,0,0,8,7.4,5.4,1029.2,2.06,260,0,0,2,16.2
10,1990,12,3,14,47,47,0,0,8,7.4,5.6,1028.7,2.57,260,0,0,2,13.9
10,1990,12,3,15,35,35,0,0,8,7.3,5.5,1028.5,3.09,260,0,0,2,9.5
10,1990,12,3,16,9,9,0,0,8,7.8,5.5,1028.4,2.06,270,0,0,5,3.4
10,1990,12,3,17,0,0,0,0,8,7.6,5.6,1028.5,2.57,270,0,0,5,-4.2
10,1990,12,3,18,0,0,0,0,8,7.7,6.2,1029,2.06,280,0,0,20,-12.6
10,1990,12,3,19,0,0,0,0,7,7.5,6.4,1028.8,1.03,260,0,0,5,-21.7
10,1990,12,3,20,0,0,0,0,7,6.7,5.9,1029,1.54,250,0,0,5,-31.1
10,1990,12,3,21,0,0,0,0,7,6.9,5.9,1029.2,1.03,270,0,0,5,-40.3
10,1990,12,3,22,0,0,0,0,1,5.2,4.5,1029.1,1.03,270,0,0,5,-48.9
10,1990,12,3,23,0,0,0,0,0,5.5,4.6,1029.5,2.06,310,0,0,2,-56
10,1990,12,3,24,0,0,0,0,5,5,4.1,1029.7,1.03,300,0,0,2,-60.2
10,1990,12,4,1,0,0,0,0,1,2.9,2.4,1029.5,1.03,240,0,0,2,-60.2
10,1990,12,4,2,0,0,0,0,0,3.6,3,1029.3,1.03,300,0,0,2,-56
10,1990,12,4,3,0,0,0,0,0,2.3,1.9,1029.4,1.54,280,0,0,2,-48.9
10,1990,12,4,4,0,0,0,0,0,2.8,2.4,1029.5,1.03,290,0,0,2,-40.3
10,1990,12,4,5,0,0,0,0,0,2.4,2.1,1029.7,1.54,290,0,0,10,-31.1
10,1990,12,4,6,0,0,0,0,0,2.1,1.9,1029.8,1.54,290,0,0,10,-21.8
10,1990,12,4,7,0,0,0,0,0,1.2,1.1,1030.1,1.54,290,0,0,10,-12.7
10,1990,12,4,8,0,0,0,0,2,1.8,1.6,1030.7,1.54,290,0,0,10,-4.3
10,1990,12,4,9,36,23,0,0.4,2,2.6,2.2,1031.3,1.03,290,0.2,0.1,11,3.4
10,1990,12,4,10,144,59,0.3,1,7,4.6,4,1031.4,1.03,290,0,0,5,9.4
10,1990,12,4,11,167,82,1,0.9,7,6.1,5,1031.6,1.03,280,0,0,5,13.8
10,1990,12,4,12,203,77,1,1,7,7.3,5.6,1031.4,1.03,270,0,0,5,16.1
10,1990,12,4,13,217,70,1,1,7,8.4,6.2,1031.2,1.54,330,0,0,2,16.1
10,1990,12,4,14,169,64,1,1,7,8.9,6.5,1030.8,1.54,350,0,0,2,13.8
10,1990,12,4,15,105,63,0.6,0.9,6,8.2,6,1030.4,1.54,350,0,0,2,9.3
10,1990,12,4,16,12,12,0,0,3,6.2,5,1030.9,2.06,320,0,0,5,3.4
10,1990,12,4,17,0,0,0,0,4,5.8,4.9,1031.4,1.54,320,0,0,5,-4.3
