half hour,demand0,demand1,demand2,demand3,demand4,demand5,demand6,demand7,demand8,demand9,demand10,demand11
1,0.08,0.1,0.16,0.42,0.08,0.16,0.1,0.08,1.78,0.12,0.48,0.5
2,0.08,0.1,0.14,0.34,0.12,0.18,0.1,0.12,1.92,0.12,0.48,0.18
3,0.08,0.08,0.12,0.44,0.06,0.08,0.1,0.12,0.98,0.12,0.48,0.2
4,0.08,0.08,0.14,0.32,0.1,0.12,0.1,0.08,0.5,0.12,0.46,0.16
5,0.08,0.1,0.18,0.38,0.08,0.12,0.1,0.14,0.5,0.14,0.5,0.2
6,0.08,0.1,0.12,0.36,0.08,0.1,0.08,0.14,0.38,0.12,0.5,0.18
7,0.08,0.1,0.12,0.36,0.1,0.08,0.12,0.1,0.44,0.36,0.48,0.18
8,0.08,0.08,0.12,0.34,0.06,0.1,0.1,0.08,0.42,0.16,0.48,0.22
9,0.08,0.44,0.12,0.3,0.1,0.12,0.08,0.1,0.4,0.14,0.5,0.14
10,0.06,1.28,0.1,0.32,0.08,0.08,0.12,0.12,0.3,0.14,0.5,0.2
11,0.08,3.76,0.3,0.56,0.18,0.1,0.16,0.1,0.22,0.14,0.48,0.22
12,0.52,2.08,0.56,0.28,0.48,0.68,0.68,0.36,0.4,0.66,0.5,0.18
13,0.16,0.86,1.8,0.16,0.18,0.16,0.22,2.14,0.78,0.44,0.56,0.18
14,1.1,0.74,1.78,0.22,0.1,0.22,0.46,1.52,1.82,0.16,1.6,0.64
15,1.32,2.22,0.8,0.32,0.08,0.14,1.44,0.2,1.7,0.4,1.08,1.58
16,0.62,3.06,0.94,0.24,0.08,0.92,2.82,0.18,1.7,0.1,1.06,0.48
17,0.4,1.46,1.64,0.24,0.1,2.02,0.98,1.08,0.54,0.14,0.92,0.74
18,0.1,2.08,0.76,0.46,0.06,1.84,0.48,0.46,0.58,0.26,0.8,0.46
19,0.08,1.46,1.18,0.22,0.1,0.56,0.38,0.3,0.64,0.66,0.84,0.56
20,0.08,1.96,0.22,0.12,0.08,0.5,0.36,0.42,0.34,1.1,0.94,0.5
21,0.1,2.2,0.22,0.08,0.08,0.24,0.68,0.12,0.32,0.56,0.38,0.46
22,0.1,0.5,0.18,0.12,0.1,0.2,0.56,0.38,0.94,0.88,0.36,0.36
23,0.08,0.54,0.1,0.12,0.06,0.2,0.08,0.28,0.58,1.08,0.18,0.94
24,0.08,0.18,2.12,0.08,0.1,0.24,0.06,0.36,1.66,2.54,0.1,0.22
25,0.1,0.72,1.26,0.12,0.08,0.48,0.1,1.06,1.06,2.22,0.08,0.12
26,0.6,0.34,0.2,0.1,0.22,0.56,0.1,0.84,0.26,0.78,0.12,0.48
27,0.52,0.68,1.88,0.1,0.26,0.9,0.08,2.02,0.42,0.24,3.36,1.2
28,0.46,0.62,1.36,0.12,0.24,0.16,0.1,0.68,0.24,0.1,2.54,0.56
29,0.56,1.06,0.5,0.56,0.48,0.1,0.1,0.6,0.22,2.14,0.6,0.26
30,0.92,1.82,0.52,0.46,0.32,0.14,0.06,0.52,0.26,2.56,1.18,0.48
31,0.62,1.64,0.38,0.46,0.18,0.12,0.1,0.1,0.54,2.24,1.5,0.5
32,0.9,0.38,0.44,0.54,0.2,0.1,0.5,0.12,2.58,0.94,0.74,0.66
33,0.6,1.32,0.68,1.26,0.18,0.14,0.62,0.1,0.56,1.32,0.9,1.18
34,0.56,1.08,2.7,0.5,0.16,0.12,1.14,0.06,0.24,4.4,1.18,0.78
35,3.58,0.54,2.06,0.24,0.2,0.24,3.5,0.12,0.24,3.8,1.54,0.82
36,4.5,0.58,4.84,0.2,0.24,1.72,3.84,0.1,0.2,1.86,3.64,2.1
37,0.9,0.34,1.94,0.82,0.26,1.36,2.38,0.1,0.12,1.8,1.7,1.5
38,0.54,0.1,0.8,2.7,0.28,0.4,2.02,0.08,0.14,1.88,2.78,1.94
39,2.02,0.08,1.66,2.14,0.24,0.44,0.88,0.1,0.4,1.22,4.22,3.26
40,1.74,0.1,2.36,1.04,0.26,0.42,0.68,0.52,0.12,1.1,2,0.64
41,1.2,0.08,2.76,1,0.1,0.8,0.36,1.02,0.14,0.74,2.48,1.82
42,0.7,0.96,1.48,0.4,0.06,0.34,0.12,0.46,0.14,0.88,0.96,0.5
43,0.54,0.52,0.62,0.32,0.1,0.28,0.12,0.58,0.1,0.78,1.16,0.5
44,0.52,0.48,0.54,0.1,0.08,0.3,0.12,0.48,0.12,0.36,1.04,0.44
45,0.44,0.46,0.42,0.12,0.4,0.48,0.12,0.1,0.14,0.14,1.02,0.78
46,0.1,0.46,0.52,0.08,0.66,1.4,0.14,0.1,0.14,0.1,1.02,0.56
47,0.1,0.62,0.46,0.1,0.4,1.08,0.12,0.1,0.12,0.14,1.04,0.18
48,0.08,0.6,0.36,0.12,0.4,0.12,0.12,0.1,0.12,0.12,1.1,0.18
49,0.08,0.96,0.2,0.1,0.18,0.1,0.14,0.1,0.1,0.1,0.4,0.1
50,0.08,0.74,0.2,0.1,0.06,0.08,0.1,0.1,0.1,0.08,0.58,0.14
