half hour,demand0
1,0.06843
2,0.11216
3,0.12879
4,0.12216
5,0.14016
6,0.1373
7,0.1379
8,0.13228
9,0.13464
10,0.16466
11,0.07982
12,0.10716
13,0.08634
14,0.070397
15,0.10236
16,0.14066
17,0.97901
18,0.5273
19,0.10622
20,0.093633
21,0.08028
22,0.24476
23,0.22912
24,0.19964
25,0.17966
26,0.22934
27,0.25214
28,0.28909
29,0.13128
30,0.17153
31,0.19718
32,0.82435
33,0.73793
34,0.58997
35,0.29585
36,0.21409
37,0.23196
38,0.31637
39,0.23231
40,0.17597
41,0.16778
42,0.13524
43,0.22612
44,0.34204
45,0.3346
46,0.25788
47,0.15082
48,0.16266
49,0.089533
50,0.09748
51,0.12486
52,0.10632
53,0.07748
54,0.1122
55,0.15228
56,0.11616
57,0.04488
58,0.10968
59,0.11468
60,0.1127
61,0.1125
62,0.11195
63,0.12038
64,0.15466
65,0.1315
66,0.1125
67,0.14076
68,0.096657
69,0.15968
70,0.18962
71,0.90088
72,0.32228
73,0.13716
74,0.10972
75,0.35817
76,0.17724
77,0.34683
78,0.1622
79,0.30639
80,0.11004
81,0.12316
82,0.2088
83,1.0939
84,0.66995
85,0.31139
86,0.24882
87,0.91527
88,0.47462
89,0.34846
90,0.27348
91,0.3072
92,0.28569
93,0.17928
94,0.10353
95,0.14844
96,0.22708
97,0.175
98,0.21964
99,0.17534
100,0.05244
101,0.1097
102,0.08737
103,0.11086
104,0.091
105,0.05732
106,0.10887
107,0.16474
108,0.08836
109,0.17714
110,0.1304
111,0.10841
112,0.17214
113,0.11548
114,0.092567
115,0.066753
116,0.60004
117,0.52883
118,0.43755
119,0.069533
120,0.11826
121,0.24162
122,0.08988
123,0.1308
124,0.13541
125,0.18171
126,0.37245
127,0.21864
128,0.1771
129,0.13333
130,0.2328
131,0.32941
132,0.40708
133,0.36287
134,0.21428
135,0.29127
136,0.57908
137,0.2196
138,0.19418
139,0.17224
140,0.2501
141,0.1617
142,0.18214
143,0.13848
144,0.12831
145,0.12466
146,0.15972
147,0.09986
148,0.16722
149,0.086827
150,0.071967
151,0.1222
152,0.13216
153,0.08718
154,0.12583
155,0.11468
156,0.09041
157,0.09742
158,0.06984
159,0.12314
160,0.15705
161,0.1148
162,0.14108
163,0.08418
164,0.10978
165,0.10966
166,0.11246
167,0.13241
168,0.16611
169,0.20597
170,0.36589
171,0.29287
172,0.3672
173,0.20881
174,0.16728
175,0.096997
176,0.24191
177,0.33845
178,0.19719
179,0.13931
180,0.15479
181,0.35942
182,0.27745
183,0.3212
184,0.13764
185,0.66704
186,0.66426
187,0.28111
188,0.22524
189,0.23238
190,0.24089
191,0.20151
192,0.12118
193,0.01996
194,0.086777
195,0.2598
196,0.26724
197,0.20742
198,0.22968
199,0.23216
200,0.1837
201,0.18468
202,0.08174
203,0.032047
204,0.17976
205,0.15744
206,0.15992
207,0.10027
208,0.070993
209,0.64742
210,0.31007
211,0.18261
212,0.2721
213,0.16255
214,0.17426
215,0.12905
216,0.98405
217,1.3944
218,0.14244
219,0.18908
220,0.26487
221,0.75567
222,0.29813
223,0.17234
224,0.11914
225,0.24436
226,0.14653
227,0.96523
228,1.3164
229,0.41466
230,0.36235
231,1.0046
232,0.62531
233,1.3265
234,0.52003
235,0.21919
236,0.22439
237,0.11515
238,0.1398
239,0.18764
240,0.15816
241,0.08634
242,0.086527
243,0.0798
244,0.10577
245,0.15472
246,0.087147
247,0.16216
248,0.1746
249,0.17212
250,0.09549
251,0.055113
252,0.099987
253,0.07482
254,0.080493
255,0.092657
256,0.38831
257,0.5949
258,0.32839
259,0.10783
260,0.078867
261,0.23684
262,0.14297
263,0.11273
264,0.23847
265,0.15767
266,0.33027
267,0.37518
268,0.90672
269,0.22271
270,0.16236
271,0.98997
272,0.74603
273,0.21626
274,0.64358
275,0.2698
276,0.40355
277,0.2196
278,0.12246
279,0.10246
280,0.094293
281,0.10678
282,0.62439
283,0.65302
284,0.21309
285,0.26434
286,0.20734
287,0.21684
288,0.22468
289,0.19244
290,0.1719
291,0.14496
292,0.17116
293,0.091867
294,0.050357
295,0.12168
296,0.12716
297,0.0822
298,0.078053
299,0.12176
300,0.06478
301,0.1072
302,0.08141
303,0.16145
304,0.29533
305,0.21982
306,0.24214
307,0.67468
308,0.3521
309,0.18583
310,0.11641
311,0.062293
312,0.06726
313,0.2156
314,0.24299
315,0.3107
316,0.1771
317,0.11058
318,0.094617
319,0.11319
320,0.29978
321,0.30504
322,0.76791
323,0.3737
324,0.65354
325,0.91537
326,0.33052
327,0.82346
328,0.23206
329,0.2424
330,0.23636
331,0.2311
332,0.28576
333,0.2206
334,0.2171
335,0.12908
336,0.12101
