STNO,YEAR,MM,DD,HH,insolation,Diffuse solar irradiation,SF_R,SF_S,Cloud Cover (octas),airTemp,Wet bulb temp (oC),Atmospheric Pressure (hPa),windSpeed in knots,windSpeed,Wind Direction (deg clock from N),RA,RD,Present weather code,SOLALT,airDensity
10,1994,2,12,0,0,0,0,0,7,2.5,0.7,1028.3,5.14,1.0289,100,0,0,2,-25.8,1.299547578
10,1994,2,12,12.5,0,0,0,0,7,2.25,0.6,1028.3,4.115,1.5433,100,0,0,2,-25.8,1.300727269
10,1994,2,13,1,0,0,0,0,7,2,0.5,1028.3,3.09,2.0578,100,0,0,2,-25.8,1.301909104
10,1994,2,13,1.5,0,0,0,0,7,2.15,0.55,1028.25,3.605,2.0578,100,0,0,2,-25.8,1.301136476
10,1994,2,13,2,0,0,0,0,7,2.3,0.6,1028.2,4.12,2.0578,100,0,0,2,-24,1.30036469
10,1994,2,13,2.5,0,0,0,0,7,2.35,0.6,1028.05,3.86,2.315,95,0,0,2,-24,1.299939018
10,1994,2,13,3,0,0,0,0,7,2.4,0.6,1027.9,3.6,2.5722,90,0,0,2,-20.8,1.299513501
10,1994,2,13,3.5,0,0,0,0,7,2.5,0.65,1027.75,2.83,2.8294,75,0,0,2,-20.8,1.298852498
10,1994,2,13,4,0,0,0,0,7,2.6,0.7,1027.6,2.06,3.0867,60,0,0,2,-16.75,1.298191974
10,1994,2,13,4.5,0,0,0,0,7,2.55,0.55,1027.5,2.06,3.3439,60,0,0,2,-16.75,1.298301054
10,1994,2,13,5,0,0,0,0,7,2.5,0.4,1027.4,2.06,3.6011,60,0,0,2,-12.2,1.298410174
10,1994,2,13,5.5,0,0,0,0,7,2.35,0.5,1027.15,2.06,3.3439,50,0,0,2,-12.2,1.298800995
10,1994,2,13,6,0,0,0,0,7,2.2,0.6,1026.9,2.06,3.0867,40,0,0,2,-7.55,1.299192241
10,1994,2,13,6.5,0,0,0,0,7,2.15,0.5,1026.8,2.06,3.0867,40,0,0,2,-7.55,1.299301662
10,1994,2,13,7,0,0,0,0,7,2.1,0.4,1026.7,2.06,3.0867,40,0,0,2,-2.9,1.299411122
10,1994,2,13,7.5,0,0,0,0,7.5,2.15,0.35,1026.7,2.575,3.3439,45,0,0,2,-2.9,1.299175123
10,1994,2,13,8,2.5,2.5,0,0,8,2.2,0.3,1026.7,3.09,3.6011,50,0,0,2,1.8,1.298939209
10,1994,2,13,8.5,2.5,2.5,0,0,8,2.15,0.35,1026.65,3.09,3.3439,50,0,0.05,11,1.8,1.299111853
10,1994,2,13,9,11.5,11.5,0,0,8,2.1,0.4,1026.6,3.09,3.0867,50,0,0.1,20,5.45,1.29928456
10,1994,2,13,9.5,11.5,11.5,0,0,8,2.25,0.45,1026.5,3.605,3.3439,50,0,0.05,11,5.45,1.298450396
10,1994,2,13,10,43,43,0,0,8,2.4,0.5,1026.4,4.12,3.6011,50,0,0,2,8.75,1.29761714
10,1994,2,13,10.5,43,43,0,0,7.5,2.7,0.75,1026.35,4.375,3.6011,55,0,0,2,8.75,1.296142776
10,1994,2,13,11,72,71.5,0,0,7,3,1,1026.3,4.63,3.6011,60,0,0,2,11.2,1.294671616
10,1994,2,13,11.5,72,71.5,0,0,7,3,1.05,1026.15,4.375,3.8583,65,0,0,2,11.2,1.294482392
10,1994,2,13,12,53,52.5,0,0,7,3,1.1,1026,4.12,4.1156,70,0,0,2,12.5,1.294293167
10,1994,2,13,12.5,53,52.5,0,0,7.5,2.95,1,1025.7,4.375,4.63,65,0,0.05,11,12.5,1.294149039
10,1994,2,13,13,43.5,43.5,0,0,8,2.9,0.9,1025.4,4.63,5.1444,60,0,0.1,20,12.5,1.294004858
10,1994,2,13,13.5,43.5,43.5,0,0,7.5,2.7,0.95,1025.15,5.145,5.4017,60,0,0.05,21,12.5,1.294627336
10,1994,2,13,14,38.5,38.5,0,0.1,7,2.5,1,1024.9,5.66,5.6589,60,0,0,22,11.2,1.295250718
10,1994,2,13,14.5,38.5,38.5,0,0.1,7,2.45,0.8,1024.6,5.4,5.6589,60,0,0,24,11.2,1.295106502
10,1994,2,13,15,40,38.5,0.05,0.1,7,2.4,0.6,1024.3,5.14,5.6589,60,0,0,26,8.8,1.294962233
10,1994,2,13,15.5,40,38.5,0.05,0.1,6.5,2.35,0.45,1024.1,5.4,5.9161,60,0,0,14,8.8,1.294944359
10,1994,2,13,16,30.5,29.5,0,0.15,6,2.3,0.3,1023.9,5.66,6.1733,60,0,0,2,5.5,1.294926479
10,1994,2,13,16.5,30.5,29.5,0,0.15,6.5,1.9,-0.3,1023.8,6.175,6.1733,60,0,0,2,5.5,1.296683012
10,1994,2,13,17,7.5,6.5,0,0,7,1.5,-0.9,1023.7,6.69,6.1733,60,0,0,2,1.85,1.298444662
10,1994,2,13,17.5,7.5,6.5,0,0,7,0.85,-1.35,1023.75,7.205,5.1444,65,0,0,2,1.85,1.301588483
10,1994,2,13,18,0,0,0,0,7,0.2,-1.8,1023.8,7.72,4.1156,70,0,0,2,-2.85,1.304747256
10,1994,2,13,18.5,0,0,0,0,7,0,-1.95,1023.75,7.205,4.1156,60,0,0,2,-2.85,1.305638823
10,1994,2,13,19,0,0,0,0,7,-0.2,-2.1,1023.7,6.69,4.1156,50,0,0,2,-7.5,1.306531696
10,1994,2,13,19.5,0,0,0,0,7,-0.35,-2.05,1023.6,6.69,4.1156,55,0,0,2,-7.5,1.307122398
10,1994,2,13,20,0,0,0,0,7,-0.5,-2,1023.5,6.69,4.1156,60,0,0,2,-12.15,1.30771375
10,1994,2,13,20.5,0,0,0,0,7,-0.5,-2.35,1023.4,7.205,3.0867,60,0,0,2,-12.15,1.307585982
10,1994,2,13,21,0,0,0,0,7,-0.5,-2.7,1023.3,7.72,2.0578,60,0,0,2,-16.65,1.307458213
10,1994,2,13,21.5,0,0,0,0,7,-0.65,-2.8,1023.05,7.46,2.0578,60,0,0,12,-16.65,1.307858317
10,1994,2,13,22,0,0,0,0,7,-0.8,-2.9,1022.8,7.2,2.0578,60,0,0,22,-20.65,1.308258861
10,1994,2,13,22.5,0,0,0,0,7.5,-1.2,-3.1,1022.6,7.2,1.8006,70,0,0,46,-20.65,1.30992693
10,1994,2,13,23,0,0,0,0,8,-1.6,-3.3,1022.4,7.2,1.5433,80,0,0,70,-23.85,1.311599912
10,1994,2,13,23.5,0,0,0,0,8,-2.1,-3.45,1022.3,7.2,1.2861,75,0,0,70.5,-23.85,1.313890869
