halfHour,demand
1,0.291666667
2,0.291666667
3,0.291666667
4,0.291666667
5,0.291666667
6,0.291666667
7,0.291666667
8,0.291666667
9,0.291666667
10,0.291666667
11,0.291666667
12,0.291666667
13,0.291666667
14,0.291666667
15,0.291666667
16,0.291666667
17,0.291666667
18,0.291666667
19,0.291666667
20,0.291666667
21,0.291666667
22,0.291666667
23,0.291666667
24,0.291666667
25,0.291666667
26,0.291666667
27,0.291666667
28,0.291666667
29,0.291666667
30,0.291666667
31,0.291666667
32,0.291666667
33,0.291666667
34,0.291666667
35,0.291666667
36,0.291666667
37,0.291666667
38,0.291666667
39,0.291666667
40,0.291666667
41,0.291666667
42,0.291666667
43,0.291666667
44,0.291666667
45,0.291666667
46,0.291666667
47,0.291666667
48,0.291666667
