DayOfWeek,Date,Half hour,demand
Monday,05-Jul-10,1,24305
Monday,05-Jul-10,2,23605
Monday,05-Jul-10,3,23143
Monday,05-Jul-10,4,22757
Monday,05-Jul-10,5,22326
Monday,05-Jul-10,6,22000
Monday,05-Jul-10,7,21883
Monday,05-Jul-10,8,21812
Monday,05-Jul-10,9,21749
Monday,05-Jul-10,10,21283
Monday,05-Jul-10,11,21522
Monday,05-Jul-10,12,22508
Monday,05-Jul-10,13,25228
Monday,05-Jul-10,14,28229
Monday,05-Jul-10,15,31952
Monday,05-Jul-10,16,34507
Monday,05-Jul-10,17,36261
Monday,05-Jul-10,18,37212
Monday,05-Jul-10,19,38263
Monday,05-Jul-10,20,38771
Monday,05-Jul-10,21,38839
Monday,05-Jul-10,22,39036
Monday,05-Jul-10,23,39227
Monday,05-Jul-10,24,39365
Monday,05-Jul-10,25,39471
Monday,05-Jul-10,26,39280
Monday,05-Jul-10,27,39094
Monday,05-Jul-10,28,38882
Monday,05-Jul-10,29,38770
Monday,05-Jul-10,30,38543
Monday,05-Jul-10,31,38282
Monday,05-Jul-10,32,38705
Monday,05-Jul-10,33,39150
Monday,05-Jul-10,34,39642
Monday,05-Jul-10,35,39561
Monday,05-Jul-10,36,38916
Monday,05-Jul-10,37,37999
Monday,05-Jul-10,38,37242
Monday,05-Jul-10,39,36268
Monday,05-Jul-10,40,35381
Monday,05-Jul-10,41,34532
Monday,05-Jul-10,42,33949
Monday,05-Jul-10,43,33776
Monday,05-Jul-10,44,33700
Monday,05-Jul-10,45,33679
Monday,05-Jul-10,46,32046
Monday,05-Jul-10,47,29745
Monday,05-Jul-10,48,27718
Tuesday,06-Jul-10,1,26137
Tuesday,06-Jul-10,2,25208
Tuesday,06-Jul-10,3,24683
Tuesday,06-Jul-10,4,24314
Tuesday,06-Jul-10,5,23919
Tuesday,06-Jul-10,6,23634
Tuesday,06-Jul-10,7,23456
Tuesday,06-Jul-10,8,23548
Tuesday,06-Jul-10,9,23352
Tuesday,06-Jul-10,10,22721
Tuesday,06-Jul-10,11,23174
Tuesday,06-Jul-10,12,23962
Tuesday,06-Jul-10,13,26598
Tuesday,06-Jul-10,14,29450
Tuesday,06-Jul-10,15,33096
Tuesday,06-Jul-10,16,35544
Tuesday,06-Jul-10,17,37183
Tuesday,06-Jul-10,18,37853
Tuesday,06-Jul-10,19,38846
Tuesday,06-Jul-10,20,39201
Tuesday,06-Jul-10,21,39343
Tuesday,06-Jul-10,22,39614
Tuesday,06-Jul-10,23,39847
Tuesday,06-Jul-10,24,40038
Tuesday,06-Jul-10,25,40269
Tuesday,06-Jul-10,26,39952
Tuesday,06-Jul-10,27,39604
Tuesday,06-Jul-10,28,39254
Tuesday,06-Jul-10,29,38992
Tuesday,06-Jul-10,30,38802
Tuesday,06-Jul-10,31,38621
Tuesday,06-Jul-10,32,38836
Tuesday,06-Jul-10,33,39445
Tuesday,06-Jul-10,34,39829
Tuesday,06-Jul-10,35,39755
Tuesday,06-Jul-10,36,39013
Tuesday,06-Jul-10,37,38020
Tuesday,06-Jul-10,38,37255
Tuesday,06-Jul-10,39,36365
Tuesday,06-Jul-10,40,35543
Tuesday,06-Jul-10,41,34719
Tuesday,06-Jul-10,42,34032
Tuesday,06-Jul-10,43,33729
Tuesday,06-Jul-10,44,34062
Tuesday,06-Jul-10,45,33332
Tuesday,06-Jul-10,46,31391
Tuesday,06-Jul-10,47,29041
Tuesday,06-Jul-10,48,27086
