DayOfWeek,Date,Half hour,demand
Thursday,01-Jul-10,1,27035.00
Thursday,01-Jul-10,2,25989.00
Thursday,01-Jul-10,3,25462.00
Thursday,01-Jul-10,4,24998.00
Thursday,01-Jul-10,5,24422.00
Thursday,01-Jul-10,6,24066.00
Thursday,01-Jul-10,7,23948.00
Thursday,01-Jul-10,8,23839.00
Thursday,01-Jul-10,9,23736.00
Thursday,01-Jul-10,10,23061.00
Thursday,01-Jul-10,11,23297.00
Thursday,01-Jul-10,12,23992.00
Thursday,01-Jul-10,13,26418.00
Thursday,01-Jul-10,14,29288.00
Thursday,01-Jul-10,15,32837.00
Thursday,01-Jul-10,16,35193.00
Thursday,01-Jul-10,17,36874.00
Thursday,01-Jul-10,18,37692.00
Thursday,01-Jul-10,19,38683.00
Thursday,01-Jul-10,20,39062.00
Thursday,01-Jul-10,21,39275.00
Thursday,01-Jul-10,22,39737.00
Thursday,01-Jul-10,23,39991.00
Thursday,01-Jul-10,24,40060.00
Thursday,01-Jul-10,25,40166.00
Thursday,01-Jul-10,26,39966.00
Thursday,01-Jul-10,27,39979.00
Thursday,01-Jul-10,28,39805.00
Thursday,01-Jul-10,29,39490.00
Thursday,01-Jul-10,30,39344.00
Thursday,01-Jul-10,31,39311.00
Thursday,01-Jul-10,32,39648.00
Thursday,01-Jul-10,33,39889.00
Thursday,01-Jul-10,34,40208.00
Thursday,01-Jul-10,35,40166.00
Thursday,01-Jul-10,36,39495.00
Thursday,01-Jul-10,37,38620.00
Thursday,01-Jul-10,38,37976.00
Thursday,01-Jul-10,39,37126.00
Thursday,01-Jul-10,40,36490.00
Thursday,01-Jul-10,41,35853.00
Thursday,01-Jul-10,42,35266.00
Thursday,01-Jul-10,43,35304.00
Thursday,01-Jul-10,44,35241.00
Thursday,01-Jul-10,45,34610.00
Thursday,01-Jul-10,46,32588.00
Thursday,01-Jul-10,47,30292.00
Thursday,01-Jul-10,48,28241.00
Friday,02-Jul-10,1,26759.00
Friday,02-Jul-10,2,25692.00
Friday,02-Jul-10,3,25158.00
Friday,02-Jul-10,4,24901.00
Friday,02-Jul-10,5,24366.00
Friday,02-Jul-10,6,23943.00
Friday,02-Jul-10,7,23753.00
Friday,02-Jul-10,8,23795.00
Friday,02-Jul-10,9,23624.00
Friday,02-Jul-10,10,23073.00
Friday,02-Jul-10,11,23385.00
Friday,02-Jul-10,12,24268.00
Friday,02-Jul-10,13,26737.00
Friday,02-Jul-10,14,29611.00
Friday,02-Jul-10,15,33192.00
Friday,02-Jul-10,16,35656.00
Friday,02-Jul-10,17,37631.00
Friday,02-Jul-10,18,38290.00
Friday,02-Jul-10,19,39281.00
Friday,02-Jul-10,20,39794.00
Friday,02-Jul-10,21,40005.00
Friday,02-Jul-10,22,40254.00
Friday,02-Jul-10,23,40387.00
Friday,02-Jul-10,24,40455.00
Friday,02-Jul-10,25,40475.00
Friday,02-Jul-10,26,40079.00
Friday,02-Jul-10,27,39807.00
Friday,02-Jul-10,28,39409.00
Friday,02-Jul-10,29,39257.00
Friday,02-Jul-10,30,38813.00
Friday,02-Jul-10,31,38422.00
Friday,02-Jul-10,32,38432.00
Friday,02-Jul-10,33,38634.00
Friday,02-Jul-10,34,38765.00
Friday,02-Jul-10,35,38542.00
Friday,02-Jul-10,36,37705.00
Friday,02-Jul-10,37,36766.00
Friday,02-Jul-10,38,36138.00
Friday,02-Jul-10,39,35131.00
Friday,02-Jul-10,40,34267.00
Friday,02-Jul-10,41,33499.00
Friday,02-Jul-10,42,32797.00
Friday,02-Jul-10,43,32460.00
Friday,02-Jul-10,44,32700.00
Friday,02-Jul-10,45,32647.00
Friday,02-Jul-10,46,31643.00
Friday,02-Jul-10,47,29808.00
Friday,02-Jul-10,48,27969.00
Saturday,03-Jul-10,1,26412.00
Saturday,03-Jul-10,2,25324.00
Saturday,03-Jul-10,3,24521.00
Saturday,03-Jul-10,4,23942.00
Saturday,03-Jul-10,5,23363.00
Saturday,03-Jul-10,6,23078.00
Saturday,03-Jul-10,7,22789.00
Saturday,03-Jul-10,8,22609.00
Saturday,03-Jul-10,9,22207.00
Saturday,03-Jul-10,10,21465.00
Saturday,03-Jul-10,11,21389.00
Saturday,03-Jul-10,12,21653.00
Saturday,03-Jul-10,13,22911.00
Saturday,03-Jul-10,14,24157.00
Saturday,03-Jul-10,15,26120.00
Saturday,03-Jul-10,16,27912.00
Saturday,03-Jul-10,17,30190.00
Saturday,03-Jul-10,18,31771.00
Saturday,03-Jul-10,19,33140.00
Saturday,03-Jul-10,20,33735.00
Saturday,03-Jul-10,21,34025.00
Saturday,03-Jul-10,22,34127.00
Saturday,03-Jul-10,23,34157.00
Saturday,03-Jul-10,24,34067.00
Saturday,03-Jul-10,25,33861.00
Saturday,03-Jul-10,26,33393.00
Saturday,03-Jul-10,27,32879.00
Saturday,03-Jul-10,28,32437.00
