halfHour,demand0
1,0.456
2,0.456
3,0.456
4,0.456
5,0.456
6,0.456
7,0.456
8,0.456
9,0.456
10,0.456
11,0.456
12,0.456
13,0.456
14,0.456
15,0.456
16,0.456
17,0.456
18,0.456
19,0.456
20,0.456
21,0.456
22,0.456
23,0.456
24,0.456
25,0.456
26,0.456
27,0.456
28,0.456
29,0.456
30,0.456
31,0.456
32,0.456
33,0.456
34,0.456
35,0.456
36,0.456
37,0.456
38,0.456
39,0.456
40,0.456
41,0.456
42,0.456
43,0.456
44,0.456
45,0.456
46,0.456
47,0.456
48,0.456
49,0.456
50,0.456
51,0.456
52,0.456
53,0.456
54,0.456
55,0.456
56,0.456
57,0.456
58,0.456
59,0.456
60,0.456
61,0.456
62,0.456
63,0.456
64,0.456
65,0.456
66,0.456
67,0.456
68,0.456
69,0.456
70,0.456
71,0.456
72,0.456
73,0.456
74,0.456
75,0.456
76,0.456
77,0.456
78,0.456
79,0.456
80,0.456
81,0.456
82,0.456
83,0.456
84,0.456
85,0.456
86,0.456
87,0.456
88,0.456
89,0.456
90,0.456
91,0.456
92,0.456
93,0.456
94,0.456
95,0.456
96,0.456
97,0.456
98,0.456
99,0.456
100,0.456
101,0.456
102,0.456
103,0.456
104,0.456
105,0.456
106,0.456
107,0.456
108,0.456
109,0.456
110,0.456
111,0.456
112,0.456
113,0.456
114,0.456
115,0.456
116,0.456
117,0.456
118,0.456
119,0.456
120,0.456
121,0.456
122,0.456
123,0.456
124,0.456
125,0.456
126,0.456
127,0.456
128,0.456
129,0.456
130,0.456
131,0.456
132,0.456
133,0.456
134,0.456
135,0.456
136,0.456
137,0.456
138,0.456
139,0.456
140,0.456
141,0.456
142,0.456
143,0.456
144,0.456
145,0.456
146,0.456
147,0.456
148,0.456
149,0.456
150,0.456
151,0.456
152,0.456
153,0.456
154,0.456
155,0.456
156,0.456
157,0.456
158,0.456
159,0.456
160,0.456
161,0.456
162,0.456
163,0.456
164,0.456
165,0.456
166,0.456
167,0.456
168,0.456
169,0.456
170,0.456
171,0.456
172,0.456
173,0.456
174,0.456
175,0.456
176,0.456
177,0.456
178,0.456
179,0.456
180,0.456
181,0.456
182,0.456
183,0.456
184,0.456
185,0.456
186,0.456
187,0.456
188,0.456
189,0.456
190,0.456
191,0.456
192,0.456
193,0.456
194,0.456
195,0.456
196,0.456
197,0.456
198,0.456
199,0.456
200,0.456
201,0.456
202,0.456
203,0.456
204,0.456
205,0.456
206,0.456
207,0.456
208,0.456
209,0.456
210,0.456
211,0.456
212,0.456
213,0.456
214,0.456
215,0.456
216,0.456
217,0.456
218,0.456
219,0.456
220,0.456
221,0.456
222,0.456
223,0.456
224,0.456
225,0.456
226,0.456
227,0.456
228,0.456
229,0.456
230,0.456
231,0.456
232,0.456
233,0.456
234,0.456
235,0.456
236,0.456
237,0.456
238,0.456
239,0.456
240,0.456
241,0.456
242,0.456
243,0.456
244,0.456
245,0.456
246,0.456
247,0.456
248,0.456
249,0.456
250,0.456
251,0.456
252,0.456
253,0.456
254,0.456
255,0.456
256,0.456
257,0.456
258,0.456
259,0.456
260,0.456
261,0.456
262,0.456
263,0.456
264,0.456
265,0.456
266,0.456
267,0.456
268,0.456
269,0.456
270,0.456
271,0.456
272,0.456
273,0.456
274,0.456
275,0.456
276,0.456
277,0.456
278,0.456
279,0.456
280,0.456
281,0.456
282,0.456
283,0.456
284,0.456
285,0.456
286,0.456
287,0.456
288,0.456
289,0.456
290,0.456
291,0.456
292,0.456
293,0.456
294,0.456
295,0.456
296,0.456
297,0.456
298,0.456
299,0.456
300,0.456
301,0.456
302,0.456
303,0.456
304,0.456
305,0.456
306,0.456
307,0.456
308,0.456
309,0.456
310,0.456
311,0.456
312,0.456
313,0.456
314,0.456
315,0.456
316,0.456
317,0.456
318,0.456
319,0.456
320,0.456
321,0.456
322,0.456
323,0.456
324,0.456
325,0.456
326,0.456
327,0.456
328,0.456
329,0.456
330,0.456
331,0.456
332,0.456
333,0.456
334,0.456
335,0.456
336,0.456
