halfHour,demand0
1,0.417783394
2,0.343981761
3,0.392338999
4,0.364983223
5,0.391968047
6,0.35525637
7,0.361491588
8,0.315081449
9,0.258362587
10,0.255247382
11,0.289077552
12,0.25256694
13,0.266625443
14,0.315908786
15,0.330463982
16,0.659762146
17,0.662401266
18,0.506617893
19,0.526052062
20,0.781593086
21,0.838597549
22,0.726956238
23,1.092250527
24,1.109105559
25,1.286353918
26,1.421562169
27,1.383455736
28,0.996105494
29,1.101206709
30,0.607957138
31,0.778456267
32,0.785792045
33,0.81726087
34,1.12304797
35,1.313148621
36,1.360005951
37,1.167988925
38,1.044863528
39,0.947576308
40,0.807906777
41,0.901148503
42,1.023103615
43,0.756804399
44,0.801412726
45,0.860860589
46,0.671702928
47,0.683414193
48,0.561514566
