halfHour,demand0
1,0.558299508
2,0.40383953
3,0.313458877
4,0.431222018
5,0.360513433
6,0.339647082
7,0.37114722
8,0.317180197
9,0.284728976
10,0.298076605
11,0.213304747
12,0.340560889
13,0.307256064
14,0.362117894
15,0.453218786
16,0.530525138
17,0.645606926
18,0.642749555
19,0.387773786
20,0.614973564
21,0.481438199
22,0.426671238
23,0.529351952
24,0.822580197
25,1.059748619
26,0.763101669
27,0.691602813
28,0.667959665
29,0.682687952
30,0.621141777
31,0.717582196
32,0.606321219
33,0.90538076
34,0.837646068
35,1.235657986
36,1.442214098
37,1.079739022
38,1.243919428
39,0.794100752
40,1.044940363
41,0.95893326
42,0.978327385
43,1.066828467
44,0.764992831
45,0.77073026
46,0.60925198
47,0.610022257
48,0.508761221
