halfHour,demand
1,0.301282434
2,0.301282434
3,0.301282434
4,0.301282434
5,0.301282434
6,0.301282434
7,0.301282434
8,0.301282434
9,0.301282434
10,0.301282434
11,0.301282434
12,0.301282434
13,0.301282434
14,0.301282434
15,0.301282434
16,0.301282434
17,0.301282434
18,0.301282434
19,0.301282434
20,0.301282434
21,0.301282434
22,0.301282434
23,0.301282434
24,0.301282434
25,0.301282434
26,0.301282434
27,0.301282434
28,0.301282434
29,0.301282434
30,0.301282434
31,0.301282434
32,0.301282434
33,0.301282434
34,0.301282434
35,0.301282434
36,0.301282434
37,0.301282434
38,0.301282434
39,0.301282434
40,0.301282434
41,0.301282434
42,0.301282434
43,0.301282434
44,0.301282434
45,0.301282434
46,0.301282434
47,0.301282434
48,0.301282434
49,0.340600981
50,0.340600981
51,0.340600981
52,0.340600981
53,0.340600981
54,0.340600981
55,0.340600981
56,0.340600981
57,0.340600981
58,0.340600981
59,0.340600981
60,0.340600981
61,0.340600981
62,0.340600981
63,0.340600981
64,0.340600981
65,0.340600981
66,0.340600981
67,0.340600981
68,0.340600981
69,0.340600981
70,0.340600981
71,0.340600981
72,0.340600981
73,0.340600981
74,0.340600981
75,0.340600981
76,0.340600981
77,0.340600981
78,0.340600981
79,0.340600981
80,0.340600981
81,0.340600981
82,0.340600981
83,0.340600981
84,0.340600981
85,0.340600981
86,0.340600981
87,0.340600981
88,0.340600981
89,0.340600981
90,0.340600981
91,0.340600981
92,0.340600981
93,0.340600981
94,0.340600981
95,0.340600981
96,0.340600981
97,0.213
98,0.213
99,0.213
100,0.213
101,0.213
102,0.213
103,0.213
104,0.213
105,0.213
106,0.213
107,0.213
108,0.213
109,0.213
110,0.213
111,0.213
112,0.213
113,0.213
114,0.213
115,0.213
116,0.213
117,0.213
118,0.213
119,0.213
120,0.213
121,0.213
122,0.213
123,0.213
124,0.213
125,0.213
126,0.213
127,0.213
128,0.213
129,0.213
130,0.213
131,0.213
132,0.213
133,0.213
134,0.213
135,0.213
136,0.213
137,0.213
138,0.213
139,0.213
140,0.213
141,0.213
142,0.213
143,0.213
144,0.213
145,0.2
146,0.2
147,0.2
148,0.2
149,0.2
150,0.2
151,0.2
152,0.2
153,0.2
154,0.2
155,0.2
156,0.2
157,0.2
158,0.2
159,0.2
160,0.2
161,0.2
162,0.2
163,0.2
164,0.2
165,0.2
166,0.2
167,0.2
168,0.2
169,0.2
170,0.2
171,0.2
172,0.2
173,0.2
174,0.2
175,0.2
176,0.2
177,0.2
178,0.2
179,0.2
180,0.2
181,0.2
182,0.2
183,0.2
184,0.2
185,0.2
186,0.2
187,0.2
188,0.2
189,0.2
190,0.2
191,0.2
192,0.2
193,0.36
194,0.36
195,0.36
196,0.36
197,0.36
198,0.36
199,0.36
200,0.36
201,0.36
202,0.36
203,0.36
204,0.36
205,0.36
206,0.36
207,0.36
208,0.36
209,0.36
210,0.36
211,0.36
212,0.36
213,0.36
214,0.36
215,0.36
216,0.36
217,0.36
218,0.36
219,0.36
220,0.36
221,0.36
222,0.36
223,0.36
224,0.36
225,0.36
226,0.36
227,0.36
228,0.36
229,0.36
230,0.36
231,0.36
232,0.36
233,0.36
234,0.36
235,0.36
236,0.36
237,0.36
238,0.36
239,0.36
240,0.36
241,0.3
242,0.3
243,0.3
244,0.3
245,0.3
246,0.3
247,0.3
248,0.3
249,0.3
250,0.3
251,0.3
252,0.3
253,0.3
254,0.3
255,0.3
256,0.3
257,0.3
258,0.3
259,0.3
260,0.3
261,0.3
262,0.3
263,0.3
264,0.3
265,0.3
266,0.3
267,0.3
268,0.3
269,0.3
270,0.3
271,0.3
272,0.3
273,0.3
274,0.3
275,0.3
276,0.3
277,0.3
278,0.3
279,0.3
280,0.3
281,0.3
282,0.3
283,0.3
284,0.3
285,0.3
286,0.3
287,0.3
288,0.3
289,0.275
290,0.275
291,0.275
292,0.275
293,0.275
294,0.275
295,0.275
296,0.275
297,0.275
298,0.275
299,0.275
300,0.275
301,0.275
302,0.275
303,0.275
304,0.275
305,0.275
306,0.275
307,0.275
308,0.275
309,0.275
310,0.275
311,0.275
312,0.275
313,0.275
314,0.275
315,0.275
316,0.275
317,0.275
318,0.275
319,0.275
320,0.275
321,0.275
322,0.275
323,0.275
324,0.275
325,0.275
326,0.275
327,0.275
328,0.275
329,0.275
330,0.275
331,0.275
332,0.275
333,0.275
334,0.275
335,0.275
336,0.275
